category,template
title,"toca {title}"
title,"assiste {title}"
title,"eu quero assistir {title}"
title,"coloca {title}"
title,"toca um episódio de {title}"
title,"transmite {title}"
title,"encontra {title} para mim"
title,"eu gostaria de assistir {{title}}"
title,"toca o anime {{title}}"
title,"me mostra {{title}}"
title,"coloca {{title}} na fila"
title,"retoma {{title}}"
title,"continue {{title}}"
season,"toca a temporada 1 de {title}"
season,"eu quero assistir a temporada {{season}} de {title}"
season,"transmite a temporada {{season}} de {{title}}"
season,"coloca a temporada {{season}}"
season,"encontra a temporada {{season}}"
episode,"toca o próximo episódio de {title}"
episode,"continue {{title}} de onde parei"
episode,"coloca um episódio novo de {{title}}"
episode,"encontra o episódio mais recente de {{title}}"
episode,"coloca na fila o próximo {{title}}"
episode,"qual é o episódio mais novo de {{title}}"
genre,"toca anime de {{genre}}"
genre,"eu quero assistir {{genre}}"
genre,"encontra anime {{genre}} para mim"
genre,"coloca um pouco de {{genre}}"
genre,"estou na vibe de {{genre}}"
genre,"transmite anime {{genre}}"
genre,"coloca na fila programas {{genre}}"
genre,"me mostra séries {{genre}}"
genre,"encontra conteúdo {{genre}}"
mood,"eu quero algo cheio de ação"
mood,"toca algo engraçado"
mood,"encontra algo romântico para mim"
mood,"eu quero algo sombrio"
mood,"toca algo que aquece o coração"
mood,"encontra algo que me faça pensar"
mood,"eu quero uma aventura épica"
mood,"toca algo fofo"
mood,"encontra algo misterioso para mim"
mood,"eu quero algo emocional"
era,"toca um anime clássico"
era,"eu quero algo recente"
era,"encontra um anime novo para mim"
era,"me mostra lançamentos recentes"
era,"eu quero algo dos anos 2000"
era,"toca um anime retrô"
era,"encontra um anime que é uma pérola escondida"
studio,"encontra anime de {{studio}}"
studio,"eu quero produções de {{studio}}"
studio,"me mostra anime de {{studio}}"
studio,"toca algo de {{studio}}"
type,"eu quero uma série de TV"
type,"encontra um filme"
type,"eu quero uma série curta"
type,"toca um OVA"
type,"encontra um one-shot"
status,"continue minha lista de assistir"
status,"retoma de onde parei"
status,"me mostra o que estou assistindo"
status,"qual anime estou acompanhando"
status,"encontra lançamentos recentes"
status,"me mostra séries em andamento"
status,"encontra séries completas"
discovery,"recomenda um anime"
discovery,"sugere algo para eu assistir"
discovery,"encontra anime como {{title}}"
discovery,"o que é parecido com {{title}}"
discovery,"recomenda séries como {{title}}"
discovery,"me mostra anime em alta"
discovery,"qual anime eu deveria assistir a seguir"
discovery,"me surpreende com um anime"
discovery,"o que é popular agora"
discovery,"encontra pérolas escondidas"
provider,"encontra anime em {{provider}}"
provider,"transmite de {{provider}}"
provider,"me mostra o que há em {{provider}}"
provider,"toca algo de {{provider}}"
rating,"me mostra animes top-rated"
rating,"eu quero uma série aclamada pela crítica"
rating,"encontra animes bem avaliados"
rating,"toca um programa muito bem avaliado"
length,"eu quero um anime curto"
length,"encontra uma série longa"
length,"preciso de algo rápido para assistir"
length,"encontra uma série de 13 episódios"
length,"toca algo com várias temporadas"
generic,"toca anime"
generic,"eu quero assistir um pouco de anime"
generic,"encontra um bom anime para mim"
generic,"eu quero assistir anime"
generic,"coloca um pouco de anime para tocar"
generic,"transmite anime"
generic,"me mostra anime"
generic,"coloca na fila um anime"
generic,"qual anime eu deveria assistir"
generic,"toca algo"
generic,"estou entediado, toca anime"
