category,template
title,"reproduce {title}"
title,"ve {title}"
title,"quiero ver {title}"
title,"pon {title}"
title,"reproduce un episodio de {title}"
title,"emitir {title}"
title,"busca {title} para mí"
title,"me gustaría ver {{title}}"
title,"reproduce el anime {{title}}"
title,"muéstrame {{title}}"
title,"pon {{title}} en cola"
title,"continúa {{title}}"
title,"continúa viendo {{title}}"
season,"reproduce la temporada 1 de {title}"
season,"quiero ver la temporada {{season}} de {title}"
season,"emitir la temporada {{season}} de {{title}}"
season,"pon la temporada {{season}}"
season,"busca la temporada {{season}}"
episode,"reproduce el siguiente episodio de {title}"
episode,"continúa {{title}} desde donde lo dejé"
episode,"pon un nuevo episodio de {{title}}"
episode,"busca el último episodio de {{title}}"
episode,"pon el siguiente {{title}} en cola"
episode,"cuál es el episodio más nuevo de {{title}}"
genre,"reproduce anime {{genre}}"
genre,"quiero ver {{genre}}"
genre,"busca anime {{genre}}"
genre,"pon algo de {{genre}}"
genre,"me apetece {{genre}}"
genre,"emitir anime {{genre}}"
genre,"pon {{genre}} en cola"
genre,"muéstrame series {{genre}}"
genre,"busca contenido {{genre}}"
mood,"quiero algo lleno de acción"
mood,"reproduce algo divertido"
mood,"busca algo romántico"
mood,"quiero algo oscuro"
mood,"reproduce algo reconfortante"
mood,"busca algo que haga pensar"
mood,"quiero una epopeya"
mood,"reproduce algo adorable"
mood,"busca algo misterioso"
mood,"quiero algo emocional"
era,"reproduce un anime clásico"
era,"quiero algo reciente"
era,"busca un anime nuevo"
era,"muéstrame lanzamientos recientes"
era,"quiero algo de los 2000"
era,"reproduce un anime antiguo"
era,"busca una joya oculta de anime"
studio,"busca anime de {{studio}}"
studio,"quiero producciones de {{studio}}"
studio,"muéstrame anime de {{studio}}"
studio,"reproduce algo de {{studio}}"
type,"quiero una serie de TV"
type,"busca una película"
type,"quiero una serie corta"
type,"reproduce un OVA"
type,"busca un one-shot"
status,"continúa mi lista de seguimiento"
status,"continúa desde donde paré"
status,"muéstrame lo que estoy viendo"
status,"qué anime sigo"
status,"busca nuevos lanzamientos"
status,"muéstrame series en emisión"
status,"busca series completadas"
discovery,"recomienda un anime"
discovery,"sugiere algo para ver"
discovery,"busca anime como {{title}}"
discovery,"qué es similar a {{title}}"
discovery,"recomienda series como {{title}}"
discovery,"muéstrame anime en tendencia"
discovery,"qué debería ver a continuación"
discovery,"sorpréndeme con un anime"
discovery,"qué es popular ahora"
discovery,"busca joyas ocultas"
provider,"busca anime en {{provider}}"
provider,"emitir desde {{provider}}"
provider,"muéstrame qué hay en {{provider}}"
provider,"reproduce algo de {{provider}}"
rating,"muéstrame anime mejor valorado"
rating,"quiero una serie aclamada por la crítica"
rating,"busca anime muy valorado"
rating,"reproduce una serie con excelentes reseñas"
length,"quiero un anime corto"
length,"busca una serie larga"
length,"necesito un vistazo rápido"
length,"busca una serie de 13 episodios"
length,"reproduce algo con muchas temporadas"
generic,"reproduce anime"
generic,"quiero ver algo de anime"
generic,"busca un buen anime"
generic,"quiero ver anime"
generic,"pon algo de anime"
generic,"emitir anime"
generic,"muéstrame anime"
generic,"pon un anime en cola"
generic,"qué anime debería ver"
generic,"reproduce algo"
generic,"estoy aburrido, reproduce anime"
