category,template
youtube_channel,I love {youtube_channel} — play their new video
youtube_channel,I want to catch up on {youtube_channel}
youtube_channel,I want to see {youtube_channel}
youtube_channel,I want to watch {youtube_channel}
youtube_channel,I'd like to watch {youtube_channel}
youtube_channel,I've been meaning to watch {youtube_channel}
youtube_channel,any new uploads from {youtube_channel}
youtube_channel,browse {youtube_channel}
youtube_channel,catch me up on {youtube_channel}
youtube_channel,check {youtube_channel} for new videos
youtube_channel,find classic videos from {youtube_channel}
youtube_channel,find commentary from {youtube_channel}
youtube_channel,find cooking videos by {youtube_channel}
youtube_channel,find fitness videos by {youtube_channel}
youtube_channel,find me {youtube_channel} videos
youtube_channel,find movie reviews from {youtube_channel}
youtube_channel,find reviews from {youtube_channel}
youtube_channel,find science videos by {youtube_channel}
youtube_channel,find something I haven't seen from {youtube_channel}
youtube_channel,find the YouTube short from {youtube_channel}
youtube_channel,find the explainer video from {youtube_channel}
youtube_channel,find the how-to video by {youtube_channel}
youtube_channel,find the interview from {youtube_channel}
youtube_channel,find the latest upload by {youtube_channel}
youtube_channel,find the livestream archive from {youtube_channel}
youtube_channel,find the most commented video from {youtube_channel}
youtube_channel,find the most recent series from {youtube_channel}
youtube_channel,find the music video from {youtube_channel}
youtube_channel,find the newest upload from {youtube_channel}
youtube_channel,find the top gaming video from {youtube_channel}
youtube_channel,find the top videos from {youtube_channel}
youtube_channel,find this month's upload from {youtube_channel}
youtube_channel,find tutorials by {youtube_channel}
youtube_channel,find {youtube_channel}
youtube_channel,go to {youtube_channel} on YouTube
youtube_channel,load up {youtube_channel}
youtube_channel,navigate to {youtube_channel} on YouTube
youtube_channel,open up {youtube_channel} on YouTube
youtube_channel,open {youtube_channel}
youtube_channel,play DIY videos from {youtube_channel}
youtube_channel,play a random video from {youtube_channel}
youtube_channel,play everything from {youtube_channel}
youtube_channel,play gaming content from {youtube_channel}
youtube_channel,play last week's video from {youtube_channel}
youtube_channel,play music content from {youtube_channel}
youtube_channel,play new content from {youtube_channel}
youtube_channel,play news from {youtube_channel}
youtube_channel,play recent videos from {youtube_channel}
youtube_channel,play something by {youtube_channel}
youtube_channel,play something educational from {youtube_channel}
youtube_channel,play something from {youtube_channel}
youtube_channel,play tech reviews from {youtube_channel}
youtube_channel,play the Q&A from {youtube_channel}
youtube_channel,play the analysis video from {youtube_channel}
youtube_channel,play the breakdown video from {youtube_channel}
youtube_channel,play the cooking tutorial from {youtube_channel}
youtube_channel,play the documentary from {youtube_channel}
youtube_channel,play the fan film from {youtube_channel}
youtube_channel,play the featured video from {youtube_channel}
youtube_channel,play the full stream from {youtube_channel}
youtube_channel,play the full video from {youtube_channel}
youtube_channel,play the latest from {youtube_channel}
youtube_channel,play the latest video from {youtube_channel}
youtube_channel,play the live stream from {youtube_channel}
youtube_channel,play the mini documentary from {youtube_channel}
youtube_channel,play the most liked video from {youtube_channel}
youtube_channel,play the most popular video from {youtube_channel}
youtube_channel,play the most recent video from {youtube_channel}
youtube_channel,play the most viewed video from {youtube_channel}
youtube_channel,play the newest content from {youtube_channel}
youtube_channel,play the newest video by {youtube_channel}
youtube_channel,play the news update from {youtube_channel}
youtube_channel,play the old videos from {youtube_channel}
youtube_channel,play the pinned video from {youtube_channel}
youtube_channel,play the playlist from {youtube_channel}
youtube_channel,play the podcast episode from {youtube_channel}
youtube_channel,play the reaction video from {youtube_channel}
youtube_channel,play the review video by {youtube_channel}
youtube_channel,play the top video from {youtube_channel}
youtube_channel,play the unboxing video from {youtube_channel}
