category,template
anime_title,I prefer reading the manga — find {anime_title}
anime_title,I want to read the {anime_title} source material
anime_title,I watched {anime_title} — now read me the manga
anime_title,find me the {anime_title} manga before I watch the show
anime_title,find the manga that {anime_title} is based on
anime_title,find the original {anime_title} manga run
anime_title,find the source manga for {anime_title}
anime_title,find the {anime_title} light novel
anime_title,find the {anime_title} manga
anime_title,is {anime_title} available as a manga
anime_title,open the light novel series {anime_title}
anime_title,open the {anime_title} manga series
anime_title,play the {anime_title} manga
anime_title,play the {anime_title} manga from volume 1
anime_title,read me the manga that became {anime_title}
anime_title,read the light novel that {anime_title} is based on
anime_title,read the manga version of {anime_title}
anime_title,read the original manga for {anime_title}
anime_title,show me the {anime_title} source material
audiobook_title,I read {audiobook_title} — is there a comic version
audiobook_title,find the comic adaptation of {audiobook_title}
audiobook_title,find the illustrated version of {audiobook_title}
audiobook_title,find the manga adaptation of {audiobook_title}
audiobook_title,find the manga based on {audiobook_title}
audiobook_title,is there a graphic novel for {audiobook_title}
audiobook_title,is {audiobook_title} available as a graphic novel
audiobook_title,play the illustrated edition of {audiobook_title}
audiobook_title,read the graphic novel adaptation of {audiobook_title}
audiobook_title,read the graphic novel that {audiobook_title} inspired
audiobook_title,read the visual adaptation of {audiobook_title}
audiobook_title,show me the illustrated version of {audiobook_title}
movie_title,I watched {movie_title} and want to read the comic
movie_title,find the comic book based on {movie_title}
movie_title,find the companion graphic novel for {movie_title}
movie_title,find the graphic novel that {movie_title} is based on
movie_title,find the illustrated version of {movie_title}
movie_title,find the prequel comic for {movie_title}
movie_title,find the source comic for {movie_title}
movie_title,find the {movie_title} comic series
movie_title,is there a comic book for {movie_title}
movie_title,is {movie_title} available as a graphic novel
movie_title,play the graphic novel version of {movie_title}
movie_title,play the motion comic version of {movie_title}
movie_title,read the comic based on {movie_title}
movie_title,read the expanded universe comic for {movie_title}
movie_title,read the origin story comic for {movie_title}
movie_title,read the source material for {movie_title}
movie_title,read the {movie_title} comic adaptation
movie_title,read the {movie_title} graphic novel
movie_title,read the {movie_title} tie-in comic
movie_title,show me the comic universe behind {movie_title}
movie_title,show me the graphic novel tie-in for {movie_title}
tv_show_title,find the comic book adaptation of {tv_show_title}
tv_show_title,find the companion comic for {tv_show_title}
tv_show_title,find the prequel comic for {tv_show_title}
tv_show_title,find the source comic for {tv_show_title}
tv_show_title,find the tie-in comic for {tv_show_title}
tv_show_title,is {tv_show_title} available as a comic
tv_show_title,play the motion comic based on {tv_show_title}
tv_show_title,read the comic that {tv_show_title} is based on
tv_show_title,read the expanded universe comic for {tv_show_title}
tv_show_title,read the origin comic for {tv_show_title}
tv_show_title,read the {tv_show_title} graphic novel
tv_show_title,show me the graphic novel version of {tv_show_title}
visual_story,I haven't finished {visual_story} — continue
visual_story,I haven't started {visual_story} yet — open it
visual_story,I left off at chapter 5 of {visual_story}
visual_story,I need to read {visual_story}
visual_story,I want the latest chapter of {visual_story}
visual_story,I want to binge {visual_story}
visual_story,I want to continue reading {visual_story}
visual_story,I want to read {visual_story}
visual_story,I want to reread {visual_story}
visual_story,I want to start {visual_story}
visual_story,I was reading {visual_story} — continue please
visual_story,I'd like to read {visual_story}
visual_story,I'd love to check out {visual_story}
visual_story,I'd love to read {visual_story}
visual_story,I've been reading {visual_story} — continue please
visual_story,browse {visual_story}
visual_story,can you find {visual_story}
visual_story,continue reading {visual_story} where I left off
visual_story,continue {visual_story}
visual_story,could I read {visual_story}
visual_story,do you have {visual_story}
visual_story,find issue one of {visual_story}
visual_story,find me {visual_story}
visual_story,find the bande dessinée {visual_story}
visual_story,find the comic book {visual_story}
visual_story,find the complete collection of {visual_story}
visual_story,find the crossover comic {visual_story}
visual_story,find the educational comic {visual_story}
visual_story,find the fantasy graphic novel {visual_story}
visual_story,find the indie comic {visual_story}
visual_story,find the josei manga {visual_story}
visual_story,find the magical girl manga {visual_story}
visual_story,find the manga series {visual_story}
visual_story,find the miniseries {visual_story}
visual_story,find the newest issue of {visual_story}
visual_story,find the omnibus of {visual_story}
visual_story,find the psychological manga {visual_story}
visual_story,find the romance manga {visual_story}
visual_story,find the sequel graphic novel {visual_story}
visual_story,find the spin-off comic {visual_story}
visual_story,find the sports manga {visual_story}
visual_story,find the {visual_story} graphic novel
visual_story,find volume 1 of {visual_story}
visual_story,find {visual_story}
visual_story,get me {visual_story}
visual_story,is {visual_story} available
visual_story,let me read {visual_story}
visual_story,load up {visual_story}
visual_story,load {visual_story}
visual_story,open chapter 1 of {visual_story}
visual_story,open issue 1 of {visual_story}
visual_story,open the French graphic novel {visual_story}
visual_story,open the anthology {visual_story}
visual_story,open the biographical comic {visual_story}
visual_story,open the comic strip collection {visual_story}
visual_story,open the graphic novel {visual_story}
visual_story,open the hardcover edition of {visual_story}
visual_story,open the manga {visual_story}
visual_story,open the mecha manga {visual_story}
visual_story,open the one-shot {visual_story}
visual_story,open the sci-fi graphic novel {visual_story}
visual_story,open the seinen manga {visual_story}
visual_story,open the war comic {visual_story}
visual_story,open the webcomic {visual_story}
visual_story,open the {visual_story} comic book
visual_story,open volume 2 of {visual_story}
visual_story,open {visual_story}
visual_story,open {visual_story} volume 1
visual_story,pick up {visual_story} where I was
visual_story,play issue 5 of {visual_story}
visual_story,play the animated comic {visual_story}
visual_story,play the collected edition of {visual_story}
visual_story,play the complete run of {visual_story}
visual_story,play the complete series {visual_story}
visual_story,play the deluxe edition of {visual_story}
visual_story,play the digital comic {visual_story}
visual_story,play the illustrated novel {visual_story}
visual_story,play the limited series {visual_story}
visual_story,play the manhwa {visual_story}
visual_story,play the most recent chapter of {visual_story}
visual_story,play the motion comic {visual_story}
visual_story,play the next chapter of {visual_story}
visual_story,play the prequel comic {visual_story}
visual_story,play the second arc of {visual_story}
visual_story,play the short comic {visual_story}
visual_story,play the visual story {visual_story}
visual_story,play the {visual_story} comic
visual_story,play the {visual_story} series
visual_story,play {visual_story}
visual_story,play {visual_story} from issue 1
visual_story,pull up {visual_story}
visual_story,put on {visual_story}
visual_story,queue up {visual_story}
visual_story,read issue 10 of {visual_story}
visual_story,read me something from {visual_story}
visual_story,read me the first chapter of {visual_story}
visual_story,read me the whole series {visual_story}
visual_story,read me {visual_story}
visual_story,read the European graphic novel {visual_story}
visual_story,read the anthology {visual_story}
visual_story,read the battle manga {visual_story}
visual_story,read the comic {visual_story}
visual_story,read the cooking manga {visual_story}
visual_story,read the crime noir comic {visual_story}
visual_story,read the dark fantasy manga {visual_story}
visual_story,read the final arc of {visual_story}
visual_story,read the first arc of {visual_story}
visual_story,read the graphic memoir {visual_story}
visual_story,read the graphic novel {visual_story}
visual_story,read the historical graphic novel {visual_story}
visual_story,read the horror comic {visual_story}
visual_story,read the isekai manga {visual_story}
visual_story,read the literary graphic novel {visual_story}
visual_story,read the manga {visual_story}
visual_story,read the manhua {visual_story}
visual_story,read the newspaper strip collection {visual_story}
visual_story,read the next volume of {visual_story}
visual_story,read the political comic {visual_story}
visual_story,read the sequential art {visual_story}
