category,template
generic,"spil nyhederne"
generic,"jeg vil gerne høre nyhederne"
generic,"giv mig de seneste nyheder"
generic,"hvad er nyt i dag"
generic,"læs mig overskrifterne"
generic,"hvad er de seneste nyheder"
generic,"spil morgennyhederne"
generic,"spil dagens nyheder"
generic,"bring mig ajouret om nyhederne"
generic,"stream nyhederne"
generic,"jeg ville gerne høre nyhederne"
generic,"spil aftennyhederne"
generic,"find mig nyhedsdækning"
generic,"vis mig hvad der sker"
generic,"jeg vil have aktuelle begivenheder"
provider,"spil nyheder fra {provider}"
provider,"jeg vil gerne høre nyhederne fra {{provider}}"
provider,"stream nyheder fra {{provider}}"
provider,"spil {{provider}} nyheder"
provider,"find mig {{provider}} nyhederne"
provider,"hvad siger {{provider}} i dag"
provider,"skru til {{provider}}"
provider,"vis mig {{provider}}"
provider,"sæt {{provider}} nyheder i kø"
category,"spil {{category}} nyheder"
category,"jeg vil gerne høre {{category}} nyheder"
category,"vis mig {{category}}"
category,"find mig {{category}} opdateringer"
category,"sæt {{category}} nyheder på"
category,"stream {{category}}"
category,"sæt {{category}} i kø"
category,"jeg er interesseret i {{category}} nyheder"
category,"giv mig {{category}} overskrifter"
time,"spil morgensamtalen"
time,"jeg vil gerne have aftennyhederne"
time,"spil dagens nyhedsopdatering"
time,"giv mig de seneste overskrifter"
time,"spil middagsnyhederne"
time,"jeg vil gerne have natnyhederne"
time,"vis mig brudnyheder"
time,"find mig direktedækning"
time,"spil seneste nyheder"
topic,"jeg vil have nyheder om {{topic}}"
topic,"find mig {{topic}} dækning"
topic,"spil nyheder om {{topic}}"
topic,"vis mig {{topic}} opdateringer"
topic,"stream {{topic}} nyheder"
topic,"sæt {{topic}} historier i kø"
topic,"hvad er nyt om {{topic}}"
topic,"giv mig {{topic}} overskrifter"
topic,"jeg er interesseret i {{topic}} nyheder"
region,"spil nyheder fra {{region}}"
region,"jeg vil gerne have {{region}} nyheder"
region,"stream {{region}} dækning"
region,"vis mig {{region}} overskrifter"
region,"find {{region}} nyheder"
region,"hvad sker der i {{region}}"
language,"spil nyheder på {{language}}"
language,"jeg vil gerne have {{language}} nyhedsdækning"
language,"vis mig {{language}} overskrifter"
language,"stream på {{language}}"
source,"find {{source}} dækning"
source,"jeg vil gerne have {{source}} rapportering"
source,"vis mig {{source}}"
source,"spil {{source}} nyheder"
source,"stream {{source}}"
source,"sæt {{source}} i kø"
discovery,"hvad er trending"
discovery,"vis mig top historier"
discovery,"hvad skal jeg vide i dag"
discovery,"overraskende nyheder"
discovery,"vigtige overskrifter"
discovery,"brudnyheder"
discovery,"top historier lige nu"
format,"spil en nyhedspodcast"
format,"jeg vil gerne have et videonyhedesprogram"
format,"vis mig skrevne resuméer"
format,"spil en nyhedsudssendelse"
format,"stream videoenyheder"
mood,"jeg vil gerne have et omfattende referat"
mood,"giv mig den hurtige version"
mood,"jeg vil gerne have dybdegående analyse"
mood,"spil let nyhedsdækning"
mood,"find mig seriøs journalistik"
weather,"hvad er vejret"
weather,"fortæl mig vejret"
weather,"spil vejrudsendelsen"
weather,"jeg vil gerne vide vejret"
traffic,"fortæl mig trafikken"
traffic,"spil trafik opdateringer"
traffic,"hvad er trafikken"
traffic,"find trafik nyheder"
sports,"spil sportsnyheder"
sports,"jeg vil gerne have sports opdateringer"
sports,"vis mig sports overskrifter"
sports,"stream sportsdækning"
business,"spil erhvernynyheder"
business,"jeg vil gerne have finansielle nyheder"
business,"vis mig markedsopdateringer"
business,"stream erhvensdækning"
tech,"spil tech-nyheder"
tech,"jeg vil gerne have teknologiopdateringer"
tech,"vis mig tech-overskrifter"
tech,"stream tech-dækning"
generic,"spil noget"
generic,"jeg vil have aktuelle begivenheder"
generic,"vis mig hvad der sker"
generic,"giv mig opdateringer"
generic,"stream nyheder"
generic,"sæt nyheder i kø"
