category,template
station,"posa {station}"
station,"sintonitza {station}"
station,"posa {station}"
station,"vull escoltar {station}"
station,"posa ràdio de {{station}}"
station,"emete {{station}}"
station,"busca {{station}}"
station,"obri {{station}}"
station,"canvia a {{station}}"
station,"pots posar {{station}}"
station,"afegeix {{station}} a la cua"
station,"mostra'm {{station}}"
station,"m'agradaria escoltar {{station}}"
station,"reprèn {{station}}"
genre,"posa ràdio de {{genre}}"
genre,"vull escoltar ràdio de {{genre}}"
genre,"busca'm una estació de ràdio de {{genre}}"
genre,"posa una mica de ràdio de {{genre}}"
genre,"emete una mica de ràdio de {{genre}}"
genre,"em ve de bé {{genre}}"
genre,"afegeix {{genre}} a la cua"
genre,"mostra'm estacions de {{genre}}"
genre,"posa {{genre}} per a mi"
genre,"busca una estació de {{genre}}"
genre,"sintonitza ràdio de {{genre}}"
format,"posa una estació de ràdio AM"
format,"vull ràdio FM"
format,"busca una estació de ràdio per satèl·lit"
format,"emete ràdio per internet"
format,"posa ràdio en línia"
format,"afegeix una ràdio de podcast a la cua"
stream,"emete {{station}}"
stream,"vull transmetre {{station}}"
stream,"busca una transmissió"
stream,"posa una transmissió en directe"
stream,"afegeix una transmissió a la cua"
stream,"vull ràdio de transmissió"
mood,"vull música relaxant"
mood,"posa quelcom animat"
mood,"busca'm ràdio de jazz"
mood,"posa música clàssica"
mood,"vull música de rock"
mood,"posa quelcom tranquil"
mood,"busca música energètica"
mood,"vull sons ambients"
mood,"posa ràdio de conversa"
mood,"busca ràdio de notícies"
location,"posa ràdio de {{location}}"
location,"vull estació de {{location}}"
location,"busca una ràdio de {{location}}"
location,"mostra'm ràdio de {{location}}"
location,"sintonitza {{location}}"
language,"posa ràdio de {{language}}"
language,"vull estació de {{language}}"
language,"busca una ràdio de {{language}}"
language,"emete en {{language}}"
availability,"busca què està disponible ara"
availability,"què puc sintonitzar"
availability,"mostra'm estacions actuals"
availability,"posa quelcom disponible"
availability,"afegeix el que està en antena a la cua"
discovery,"recomana una estació de ràdio"
discovery,"suggereix quelcom per escoltar"
discovery,"busca noves estacions de ràdio"
discovery,"quin sintonitzar"
discovery,"mostra'm estacions que tendeixen"
discovery,"sorpren-me amb una estació"
discovery,"busca perles amagades d'estacions"
discovery,"què és popular ara mesmo"
category,"vull ràdio de conversa"
category,"posa ràdio de música"
category,"busca ràdio de notícies"
category,"emete ràdio d'esports"
category,"posa ràdio de varietat"
category,"busca ràdio de comèdia"
category,"posa ràdio educativa"
provider,"busca ràdio a {{provider}}"
provider,"emete de {{provider}}"
provider,"mostra'm estacions de {{provider}}"
provider,"posa ràdio de {{provider}}"
generic,"posa la ràdio"
generic,"obri la ràdio"
generic,"busca'm una estació de ràdio"
generic,"posa una mica de ràdio"
generic,"emete ràdio"
generic,"vull escoltar la ràdio"
generic,"mostra'm ràdio"
generic,"afegeix una estació a la cua"
generic,"estic avorrida, posa ràdio"
generic,"posa quelcom"
