category,template
title,"reproduce {title}"
title,"quiero jugar {title}"
title,"inicia {title}"
title,"comienza {title}"
title,"abre {title}"
title,"me gustaría jugar {title}"
title,"busca {title}"
title,"carga {title}"
title,"arranca {title}"
title,"puedes reproducir {{title}}"
title,"pon {{title}} en cola"
title,"pon {{title}}"
title,"ejecuta {{title}}"
genre,"reproduce un juego {{genre}}"
genre,"quiero jugar {{genre}}"
genre,"busca un juego {{genre}}"
genre,"pon un juego {{genre}}"
genre,"me apetece {{genre}}"
genre,"emitir un juego {{genre}}"
genre,"pon un juego {{genre}} en cola"
genre,"muéstrame juegos {{genre}}"
genre,"quiero algo {{genre}}"
platform,"busca un juego de {{platform}}"
platform,"quiero jugar en {{platform}}"
platform,"muéstrame juegos de {{platform}}"
platform,"qué juegos de {{platform}} debería jugar"
platform,"pon un juego de {{platform}} en cola"
platform,"reproduce algo en {{platform}}"
mood,"quiero algo relajante"
mood,"reproduce algo desafiante"
mood,"busca algo divertido"
mood,"quiero algo competitivo"
mood,"reproduce algo cooperativo"
mood,"busca algo estratégico"
mood,"quiero una aventura"
mood,"reproduce algo de miedo"
mood,"busca algo divertido"
mood,"quiero algo impulsado por la historia"
mode,"reproduce un jugador único"
mode,"quiero multijugador"
mode,"busca un juego cooperativo"
mode,"reproduce algo competitivo"
mode,"quiero juego en línea"
mode,"busca multijugador local"
difficulty,"quiero algo fácil"
difficulty,"reproduce algo difícil"
difficulty,"busca un juego desafiante"
difficulty,"quiero un juego casual"
difficulty,"reproduce algo para jugadores expertos"
length,"quiero un juego rápido"
length,"busca un juego largo para jugar"
length,"necesito una sesión corta"
length,"reproduce algo para unas horas"
duration,"tengo 30 minutos"
duration,"tengo una hora"
duration,"tengo toda la noche"
duration,"busca un juego que pueda jugar de una vez"
exploration,"busca juegos independientes"
exploration,"muéstrame joyas ocultas"
exploration,"recomienda un juego"
exploration,"qué juego debería jugar"
exploration,"sorpréndeme con un juego"
exploration,"sugiere algo nuevo"
exploration,"qué es tendencia en videojuegos"
exploration,"busca juegos como {{title}}"
rating,"muéstrame juegos mejor valorados"
rating,"quiero un juego aclamado por la crítica"
rating,"busca juegos muy valorados"
rating,"reproduce un juego con excelentes reseñas"
franchise,"busca juegos de {{title}}"
franchise,"reproduce algo de la serie {{title}}"
franchise,"qué juego de {{title}} debería jugar"
franchise,"pon {{title}} en cola"
retro,"reproduce un juego clásico"
retro,"quiero un juego antiguo"
retro,"busca un juego viejo"
retro,"muéstrame juegos de {{year}}"
retro,"quiero un juego de arcade"
recent,"reproduce un nuevo lanzamiento"
recent,"busca un juego reciente"
recent,"qué hay nuevo en videojuegos"
recent,"muéstrame juegos de {{year}}"
recent,"pon el último lanzamiento en cola"
provider,"busca un juego en {{provider}}"
provider,"emitir desde {{provider}}"
provider,"muéstrame juegos de {{provider}}"
provider,"reproduce algo de {{provider}}"
generic,"reproduce un juego"
generic,"quiero jugar un videojuego"
generic,"inicia un juego"
generic,"estoy aburrido, reproduce un juego"
generic,"busca un juego"
generic,"muéstrame un juego"
generic,"qué juego debería jugar"
generic,"sorpréndeme con un juego"
generic,"reproduce algo bueno"
generic,"pon un juego en cola"
