category,template
show,"play the {show} podcast"
show,"I want to listen to {show}"
show,"play an episode of {show}"
show,"find the {show} podcast"
show,"put on {show}"
show,"stream {show}"
show,"I want to hear {show}"
show,"continue listening to {show}"
show,"queue {show}"
show,"show me {show}"
show,"can you play {show}"
show,"I'd like to listen to {{show}}"
show,"resume {show}"
show,"what's new in {{show}}"
show,"play the latest {{show}}"
show,"find me an episode of {{show}}"
show,"put {{show}} on"
topic,"play a podcast about {topic}"
topic,"find me a podcast about {topic}"
topic,"I want to listen to a podcast about {topic}"
topic,"put on a {topic} podcast"
topic,"I'd like a podcast on {topic}"
topic,"stream a podcast about {topic}"
topic,"find a podcast on {topic}"
topic,"play something about {topic}"
topic,"I want to hear a podcast on {topic}"
topic,"find me a {topic} podcast"
topic,"queue a {{topic}} podcast"
topic,"can you play a {{topic}} podcast"
topic,"show me a podcast about {{topic}}"
topic,"I'm interested in a {{topic}} podcast"
topic,"recommend a {{topic}} podcast"
episode,"play the latest episode of {show}"
episode,"find a new episode of {show}"
episode,"put on the newest {{show}} episode"
episode,"continue with the next {{show}} episode"
episode,"stream the latest {{show}}"
episode,"queue the new {{show}} episode"
episode,"what's the newest {{show}} episode"
episode,"play the most recent {{show}}"
series,"I want to start a new podcast series"
series,"find me a podcast series"
series,"what podcast series should I listen to"
series,"show me podcast series about {{topic}}"
series,"queue a new series"
series,"start a podcast series with me"
discovery,"recommend a podcast"
discovery,"suggest something to listen to"
discovery,"find podcasts about {{topic}}"
discovery,"what's trending in podcasts"
discovery,"show me new podcasts"
discovery,"find hidden gem podcasts"
discovery,"what podcast should I try"
discovery,"surprise me with a podcast"
discovery,"find shows like {{show}}"
discovery,"what's similar to {{show}}"
length,"I want a short podcast episode"
length,"find me a long podcast"
length,"I need a quick listen"
length,"play something I can listen to while commuting"
frequency,"find me a weekly podcast"
frequency,"I want a daily podcast"
frequency,"put on something that's regularly updated"
genre,"play a {{genre}} podcast"
genre,"I want to listen to a {{genre}} show"
genre,"find me {{genre}} content"
genre,"put on something {{genre}}"
genre,"stream a {{genre}} podcast"
genre,"queue a {{genre}} show"
genre,"I'm in the mood for {{genre}} podcasts"
mood,"I want something educational"
mood,"play something funny"
mood,"I need something relaxing"
mood,"find me something inspiring"
mood,"I want true crime"
mood,"play something thoughtful"
mood,"find me entertaining content"
host,"find podcasts by {host}"
host,"I want to listen to {{host}}"
host,"put on a show from {{host}}"
host,"play something hosted by {{host}}"
host,"stream {{host}}'s podcast"
provider,"find a podcast on {provider}"
provider,"stream from {{provider}}"
provider,"show me what's on {{provider}}"
provider,"play something from {{provider}}"
generic,"play a podcast"
generic,"play some podcasts"
generic,"I want to listen to a podcast"
generic,"find me something to listen to"
generic,"play something"
generic,"queue something"
generic,"I want to hear something"
generic,"put on a podcast"
generic,"stream a podcast"
generic,"play anything"
generic,"I'm bored, play a podcast"
generic,"play random podcasts"
generic,"what podcast should I listen to"
