category,template
station,"speel {station}"
station,"stem af op {station}"
station,"zet {station} op"
station,"ik wil naar {station} luisteren"
station,"speel {{station}} radio"
station,"stream {{station}}"
station,"zoek {{station}}"
station,"zet {{station}} aan"
station,"wissel naar {{station}}"
station,"kun je {{station}} afspelen"
station,"zet {{station}} in de wachtrij"
station,"laat me {{station}} zien"
station,"ik wil graag {{station}} horen"
station,"hervat {{station}}"
genre,"speel {{genre}} radio"
genre,"ik wil {{genre}} radio luisteren"
genre,"zoek me een {{genre}} radiostation"
genre,"zet wat {{genre}} radio op"
genre,"stream wat {{genre}} radio"
genre,"ik ben in de stemming voor {{genre}}"
genre,"zet {{genre}} in de wachtrij"
genre,"laat me {{genre}} stations zien"
genre,"speel {{genre}} voor me"
genre,"zoek een {{genre}} station"
genre,"stem af op {{genre}} radio"
format,"speel een AM radiostation"
format,"ik wil FM radio"
format,"zoek een satellietradiostation"
format,"stream internetradio"
format,"zet online radio op"
format,"zet een podcastradio in de wachtrij"
stream,"stream {{station}}"
stream,"ik wil {{station}} streamen"
stream,"zoek een stream"
stream,"speel een live stream"
stream,"zet een stream in de wachtrij"
stream,"ik wil streaming radio"
mood,"ik wil rustgevende muziek"
mood,"speel iets opwekkends"
mood,"zoek me jazz radio"
mood,"zet klassieke muziek op"
mood,"ik wil rock muziek"
mood,"speel iets gezellig"
mood,"zoek energieke muziek"
mood,"ik wil omgevingsgeluiden"
mood,"speel praatradio"
mood,"zoek nieuws radio"
location,"speel {{location}} radio"
location,"ik wil {{location}} station"
location,"zoek een {{location}} radio"
location,"laat me {{location}} radio zien"
location,"stem af op {{location}}"
language,"speel {{language}} radio"
language,"ik wil {{language}} station"
language,"zoek een {{language}} radio"
language,"stream in {{language}}"
availability,"zoek wat er nu beschikbaar is"
availability,"wat kan ik nu afstemmen"
availability,"laat me huidige stations zien"
availability,"speel iets beschikbaars"
availability,"zet wat er op is in de wachtrij"
discovery,"beveel een radiostation aan"
discovery,"stel iets voor om naar te luisteren"
discovery,"zoek nieuwe radiostations"
discovery,"waar moet ik naar luisteren"
discovery,"laat me trending stations zien"
discovery,"verrас me met een station"
discovery,"zoek verborgen parel stations"
discovery,"wat is nu populair"
category,"ik wil praatradio"
category,"speel muziekradio"
category,"zoek nieuws radio"
category,"stream sportradio"
category,"speel variëteitsradio"
category,"zoek comedyradio"
category,"zet educatieve radio op"
provider,"zoek radio op {{provider}}"
provider,"stream van {{provider}}"
provider,"laat me {{provider}} stations zien"
provider,"speel {{provider}} radio"
generic,"speel de radio"
generic,"zet de radio aan"
generic,"zoek me een radiostation"
generic,"zet wat radio op"
generic,"stream radio"
generic,"ik wil radio luisteren"
generic,"laat me radio zien"
generic,"zet een station in de wachtrij"
generic,"ik verveel me, speel radio"
generic,"speel iets"
