category,template
title,"play {title}"
title,"watch {title}"
title,"I want to watch {title}"
title,"put on {title}"
title,"can you play {title}"
title,"find {title} for me"
title,"stream {title}"
title,"show me {title}"
title,"queue {title}"
actor,"play a movie with {actor}"
actor,"play a movie starring {actor}"
actor,"I want to watch a movie with {actor}"
actor,"find a movie with {actor}"
actor,"show me a film starring {actor}"
actor,"I'd like to watch a movie with {actor}"
actor,"put on a movie with {actor}"
actor,"stream a film starring {actor}"
actor,"watch a movie with {actor} in it"
actor,"find me something starring {actor}"
actor,"I want to see {actor} in a film"
actor,"can you play a {actor} film"
actor,"queue a movie with {actor}"
director,"play a film by {director}"
director,"I want to watch a {director} film"
director,"show me a {director} movie"
director,"find a movie by {director}"
director,"I'd like to watch something by {director}"
director,"play the latest {director} film"
director,"stream a film directed by {director}"
director,"play a movie directed by {director}"
director,"I want to watch something directed by {director}"
director,"find me a {director} movie"
director,"can you play a {director} film"
director,"queue a {director} film"
director,"I'm in the mood for {director}"
director_actor,"play a {director} film with {actor}"
director_actor,"I want to watch a {{director}} movie starring {actor}"
director_actor,"find me a {{director}} film with {actor}"
director_actor,"put on a {{director}} film with {actor}"
genre,"play a {{genre}} movie"
genre,"I want to watch {{genre}}"
genre,"find me something {{genre}}"
genre,"show me a {{genre}} film"
genre,"I'm in the mood for {{genre}}"
genre,"play a {{genre}} flick"
genre,"I want {{genre}} entertainment"
genre,"stream a {{genre}} movie"
genre,"queue a {{genre}} film"
genre,"put on something {{genre}}"
year,"play a movie from the {year}"
year,"I want to watch a {{year}} film"
year,"find me a movie from {{year}}"
year,"show me {{year}} cinema"
year,"I want a {{year}} classic"
year,"put on a {{year}} movie"
era,"play a classic movie"
era,"I want to watch something from the golden age"
era,"find me a modern film"
era,"show me contemporary cinema"
era,"I want a retro movie"
era,"play a recent release"
mood,"find me something I can watch with family"
mood,"I want a movie to watch with friends"
mood,"play something funny"
mood,"I need something scary"
mood,"I want a romantic movie"
mood,"play an action film"
mood,"I want something thought-provoking"
mood,"find me an adventure"
mood,"I want something light-hearted"
mood,"play a movie I can relax to"
provider,"find a movie on {provider}"
provider,"stream a film on {provider}"
provider,"show me what's new on {provider}"
provider,"play a movie from {provider}"
studio,"find a movie by {studio}"
studio,"I want to watch something from {studio}"
studio,"show me a {{studio}} production"
discovery,"recommend a movie"
discovery,"suggest something to watch"
discovery,"find new movies like {title}"
discovery,"what's similar to {title}"
discovery,"recommend movies like {{title}}"
discovery,"show me new releases"
discovery,"what should I watch next"
discovery,"surprise me with a movie"
runtime,"play a short movie"
runtime,"I want something quick to watch"
runtime,"find me a feature-length film"
runtime,"I need a long movie for tonight"
generic,"play a movie"
generic,"watch a film"
generic,"I want to watch a movie"
generic,"find me something to watch"
generic,"play a good movie"
generic,"put on a movie"
generic,"queue a movie"
generic,"I'm bored, play a movie"
generic,"find me a film"
generic,"show me a movie"
generic,"I want to see a movie"
generic,"stream a movie"
generic,"what movie should I watch"
generic,"play anything good"
