category,template
title,"joue {title}"
title,"je veux jouer à {title}"
title,"lance {title}"
title,"démarre {title}"
title,"ouvre {title}"
title,"j'aimerais jouer à {title}"
title,"trouve {title}"
title,"charge {title}"
title,"démarre {{title}}"
title,"peux-tu jouer à {{title}}"
title,"ajoute {{title}} à la file"
title,"mets {{title}}"
title,"lance {{title}}"
genre,"joue un jeu {{genre}}"
genre,"je veux jouer à {{genre}}"
genre,"trouve-moi un jeu {{genre}}"
genre,"mets un jeu {{genre}}"
genre,"je suis d'humeur pour du {{genre}}"
genre,"diffuse un jeu {{genre}}"
genre,"ajoute un jeu {{genre}} à la file"
genre,"montre-moi des jeux {{genre}}"
genre,"je veux quelque chose de {{genre}}"
platform,"trouve un jeu {{platform}}"
platform,"je veux jouer sur {{platform}}"
platform,"montre-moi les jeux {{platform}}"
platform,"quels jeux {{platform}} devrais-je jouer"
platform,"ajoute un jeu {{platform}} à la file"
platform,"joue quelque chose sur {{platform}}"
mood,"je veux quelque chose de relaxant"
mood,"joue quelque chose de difficile"
mood,"trouve-moi quelque chose d'amusant"
mood,"je veux quelque chose de compétitif"
mood,"joue quelque chose de coopératif"
mood,"trouve-moi quelque chose de stratégique"
mood,"je veux une aventure"
mood,"joue quelque chose d'effrayant"
mood,"trouve-moi quelque chose de drôle"
mood,"je veux quelque chose axé sur l'histoire"
mode,"joue en solo"
mode,"je veux du multijoueur"
mode,"trouve un jeu coopératif"
mode,"joue quelque chose de compétitif"
mode,"je veux du jeu en ligne"
mode,"trouve du multijoueur local"
difficulty,"je veux quelque chose de facile"
difficulty,"joue quelque chose de difficile"
difficulty,"trouve un jeu difficile"
difficulty,"je veux un jeu casual"
difficulty,"joue quelque chose pour les hardcore"
length,"je veux un jeu rapide"
length,"trouve un long jeu dans lequel m'immerger"
length,"j'ai besoin d'une courte session"
length,"joue quelque chose pendant quelques heures"
duration,"j'ai 30 minutes"
duration,"j'ai une heure"
duration,"j'ai toute la soirée"
duration,"trouve un jeu que je peux finir en une seule session"
exploration,"trouve des jeux indépendants"
exploration,"montre-moi les joyaux cachés"
exploration,"recommande-moi un jeu"
exploration,"quel jeu devrais-je jouer"
exploration,"surprends-moi avec un jeu"
exploration,"suggère-moi quelque chose de nouveau"
exploration,"qu'est-ce qui est tendance en jeux"
exploration,"trouve des jeux comme {{title}}"
rating,"montre-moi les jeux les mieux notés"
rating,"je veux un jeu acclamé par la critique"
rating,"trouve des jeux bien notés"
rating,"joue un jeu avec d'excellentes critiques"
franchise,"trouve des jeux {{title}}"
franchise,"joue quelque chose de la série {{title}}"
franchise,"quel jeu {{title}} devrais-je jouer"
franchise,"ajoute {{title}} à la file"
retro,"joue un jeu classique"
retro,"je veux un jeu rétro"
retro,"trouve un vieux jeu"
retro,"montre-moi les jeux de {{year}}"
retro,"je veux un jeu arcade"
recent,"joue une nouvelle sortie"
recent,"trouve un jeu récent"
recent,"qu'est-ce qui est nouveau en jeux"
recent,"montre-moi les jeux de {{year}}"
recent,"ajoute la dernière sortie à la file"
provider,"trouve un jeu sur {{provider}}"
provider,"diffuse depuis {{provider}}"
provider,"montre-moi les jeux {{provider}}"
provider,"joue quelque chose de {{provider}}"
generic,"joue un jeu"
generic,"je veux jouer à un jeu vidéo"
generic,"démarre un jeu"
generic,"je m'ennuie, joue un jeu"
generic,"trouve-moi un jeu"
generic,"montre-moi un jeu"
generic,"quel jeu devrais-je jouer"
generic,"surprends-moi avec un jeu"
generic,"joue quelque chose de bien"
generic,"ajoute un jeu à la file"
