category,template
title,"joue {title}"
title,"regarde {title}"
title,"je veux regarder {title}"
title,"mets {title}"
title,"joue un épisode de {title}"
title,"diffuse {title}"
title,"trouve {title} pour moi"
title,"j'aimerais regarder {{title}}"
title,"joue l'anime {{title}}"
title,"montre-moi {{title}}"
title,"ajoute {{title}} à la file"
title,"reprends {{title}}"
title,"continue {{title}}"
season,"joue la saison 1 de {title}"
season,"je veux regarder la saison {{season}} de {title}"
season,"diffuse la saison {{season}} de {{title}}"
season,"mets la saison {{season}}"
season,"trouve la saison {{season}}"
episode,"joue le prochain épisode de {title}"
episode,"reprends {{title}} où je l'ai laissé"
episode,"mets un nouvel épisode de {{title}}"
episode,"trouve le dernier épisode de {{title}}"
episode,"ajoute le prochain {{title}} à la file"
episode,"quel est le dernier épisode de {{title}}"
genre,"joue de l'anime {{genre}}"
genre,"je veux regarder du {{genre}}"
genre,"trouve-moi de l'anime {{genre}}"
genre,"mets un peu de {{genre}}"
genre,"je suis d'humeur pour du {{genre}}"
genre,"diffuse de l'anime {{genre}}"
genre,"ajoute des séries {{genre}} à la file"
genre,"montre-moi des séries {{genre}}"
genre,"trouve du contenu {{genre}}"
mood,"je veux quelque chose rempli d'action"
mood,"joue quelque chose de drôle"
mood,"trouve-moi quelque chose de romantique"
mood,"je veux quelque chose d'obscur"
mood,"joue quelque chose de réconfortant"
mood,"trouve-moi quelque chose de réfléchi"
mood,"je veux une épique aventure"
mood,"joue quelque chose de mignon"
mood,"trouve-moi quelque chose de mystérieux"
mood,"je veux quelque chose d'émouvant"
era,"joue un anime classique"
era,"je veux quelque chose de récent"
era,"trouve-moi un nouvel anime"
era,"montre-moi les sorties récentes"
era,"je veux quelque chose des années 2000"
era,"joue un anime rétro"
era,"trouve un joyau caché anime"
studio,"trouve un anime de {{studio}}"
studio,"je veux des productions {{studio}}"
studio,"montre-moi de l'anime {{studio}}"
studio,"joue quelque chose de {{studio}}"
type,"je veux une série télé"
type,"trouve un film"
type,"je veux une courte série"
type,"joue un OVA"
type,"trouve un one-shot"
status,"continue ma liste de suivi"
status,"reprends où je me suis arrêté"
status,"montre-moi ce que je regarde"
status,"quel anime je suis"
status,"trouve les nouvelles sorties"
status,"montre-moi les séries en cours"
status,"trouve les séries terminées"
discovery,"recommande-moi un anime"
discovery,"suggère-moi quelque chose à regarder"
discovery,"trouve un anime comme {{title}}"
discovery,"qu'est-ce qui ressemble à {{title}}"
discovery,"recommande-moi des séries comme {{title}}"
discovery,"montre-moi l'anime tendance"
discovery,"qu'est-ce que je devrais regarder ensuite"
discovery,"surprends-moi avec un anime"
discovery,"qu'est-ce qui est populaire en ce moment"
discovery,"trouve les joyaux cachés"
provider,"trouve un anime sur {{provider}}"
provider,"diffuse depuis {{provider}}"
provider,"montre-moi ce qui est sur {{provider}}"
provider,"joue quelque chose de {{provider}}"
rating,"montre-moi les anime les mieux notés"
rating,"je veux une série acclamée par la critique"
rating,"trouve un anime bien noté"
rating,"joue une série hautement recommandée"
length,"je veux un anime court"
length,"trouve une longue série"
length,"j'ai besoin d'une réaction rapide"
length,"trouve une série de 13 épisodes"
length,"joue quelque chose avec plusieurs saisons"
generic,"joue un anime"
generic,"je veux regarder un peu d'anime"
generic,"trouve-moi un bon anime"
generic,"je veux regarder de l'anime"
generic,"mets un peu d'anime"
generic,"diffuse de l'anime"
generic,"montre-moi de l'anime"
generic,"ajoute un anime à la file"
generic,"quel anime devrais-je regarder"
generic,"joue quelque chose"
generic,"je m'ennuie, joue un anime"
