category,template
generic,"play the news"
generic,"I want to hear the news"
generic,"give me the latest news"
generic,"what's in the news today"
generic,"read me the headlines"
generic,"what's the latest news"
generic,"play the morning news"
generic,"play today's news"
generic,"catch me up on the news"
generic,"stream the news"
generic,"I'd like to hear the news"
generic,"play the evening news"
generic,"find me news coverage"
generic,"show me what's happening"
generic,"I want current events"
provider,"play news from {provider}"
provider,"I want to hear the news from {{provider}}"
provider,"stream news from {{provider}}"
provider,"play {{provider}} news"
provider,"find me the {{provider}} news"
provider,"what's {{provider}} saying today"
provider,"tune into {{provider}}"
provider,"show me {{provider}}"
provider,"queue {{provider}} news"
category,"play {{category}} news"
category,"I want to hear {{category}} news"
category,"show me {{category}}"
category,"find me {{category}} updates"
category,"put on {{category}} news"
category,"stream {{category}}"
category,"queue {{category}}"
category,"I'm interested in {{category}} news"
category,"give me {{category}} headlines"
time,"play the morning briefing"
time,"I want the evening news"
time,"play today's news update"
time,"give me the latest headlines"
time,"play the noon news"
time,"I want the night news"
time,"show me breaking news"
time,"find me live coverage"
time,"play recent news"
topic,"I want news about {{topic}}"
topic,"find me {{topic}} coverage"
topic,"play news on {{topic}}"
topic,"show me {{topic}} updates"
topic,"stream {{topic}} news"
topic,"queue {{topic}} stories"
topic,"what's new about {{topic}}"
topic,"give me {{topic}} headlines"
topic,"I'm interested in {{topic}} news"
region,"play news from {{region}}"
region,"I want {{region}} news"
region,"stream {{region}} coverage"
region,"show me {{region}} headlines"
region,"find {{region}} news"
region,"what's happening in {{region}}"
language,"play news in {{language}}"
language,"I want {{language}} news coverage"
language,"show me {{language}} headlines"
language,"stream in {{language}}"
source,"find {{source}} coverage"
source,"I want {{source}} reporting"
source,"show me {{source}}"
source,"play {{source}} news"
source,"stream {{source}}"
source,"queue {{source}}"
discovery,"what's trending"
discovery,"show me top stories"
discovery,"what should I know today"
discovery,"surprising news"
discovery,"important headlines"
discovery,"breaking news"
discovery,"top stories right now"
format,"play a news podcast"
format,"I want a video news program"
format,"show me written summaries"
format,"play a news broadcast"
format,"stream video news"
mood,"I want a comprehensive briefing"
mood,"give me the quick version"
mood,"I want in-depth analysis"
mood,"play light news coverage"
mood,"find me serious journalism"
weather,"what's the weather"
weather,"tell me the weather news"
weather,"play the weather forecast"
weather,"I want to know the weather"
traffic,"tell me the traffic"
traffic,"play traffic updates"
traffic,"what's the traffic situation"
traffic,"find traffic news"
sports,"play sports news"
sports,"I want sports updates"
sports,"show me sports headlines"
sports,"stream sports coverage"
business,"play business news"
business,"I want financial news"
business,"show me market updates"
business,"stream business coverage"
tech,"play tech news"
tech,"I want technology updates"
tech,"show me tech headlines"
tech,"stream tech coverage"
generic,"play something"
generic,"I want current events"
generic,"show me what's happening"
generic,"give me updates"
generic,"stream news"
generic,"queue news"
