category,template
title,"play {title}"
title,"watch {title}"
title,"I want to watch {title}"
title,"put on {title}"
title,"play an episode of {title}"
title,"stream {title}"
title,"find {title} for me"
title,"I'd like to watch {{title}}"
title,"play the anime {{title}}"
title,"show me {{title}}"
title,"queue {{title}}"
title,"resume {{title}}"
title,"continue {{title}}"
season,"play season 1 of {title}"
season,"I want to watch season {{season}} of {title}"
season,"stream season {{season}} of {{title}}"
season,"put on season {{season}}"
season,"find season {{season}}"
episode,"play the next episode of {title}"
episode,"continue {{title}} from where I left off"
episode,"put on a new {{title}} episode"
episode,"find the latest {{title}} episode"
episode,"queue the next {{title}}"
episode,"what's the newest {{title}} episode"
genre,"play {{genre}} anime"
genre,"I want to watch {{genre}}"
genre,"find me {{genre}} anime"
genre,"put on some {{genre}}"
genre,"I'm in the mood for {{genre}}"
genre,"stream {{genre}} anime"
genre,"queue {{genre}} shows"
genre,"show me {{genre}} series"
genre,"find {{genre}} content"
mood,"I want something action-packed"
mood,"play something funny"
mood,"find me something romantic"
mood,"I want something dark"
mood,"play something heartwarming"
mood,"find me something thought-provoking"
mood,"I want an epic adventure"
mood,"play something cute"
mood,"find me something mysterious"
mood,"I want something emotional"
era,"play a classic anime"
era,"I want something recent"
era,"find me a new anime"
era,"show me recent releases"
era,"I want something from the 2000s"
era,"play a retro anime"
era,"find a hidden gem anime"
studio,"find anime from {{studio}}"
studio,"I want {{studio}} productions"
studio,"show me {{studio}} anime"
studio,"play something by {{studio}}"
type,"I want a TV series"
type,"find a movie"
type,"I want a short series"
type,"play an OVA"
type,"find a one-shot"
status,"continue my watchlist"
status,"resume from where I stopped"
status,"show me what I'm watching"
status,"what anime am I following"
status,"find new releases"
status,"show me ongoing series"
status,"find completed series"
discovery,"recommend an anime"
discovery,"suggest something to watch"
discovery,"find anime like {{title}}"
discovery,"what's similar to {{title}}"
discovery,"recommend shows like {{title}}"
discovery,"show me trending anime"
discovery,"what should I watch next"
discovery,"surprise me with an anime"
discovery,"what's popular right now"
discovery,"find hidden gems"
provider,"find anime on {{provider}}"
provider,"stream from {{provider}}"
provider,"show me what's on {{provider}}"
provider,"play something from {{provider}}"
rating,"show me top-rated anime"
rating,"I want a critically acclaimed series"
rating,"find highly rated anime"
rating,"play a highly reviewed show"
length,"I want a short anime"
length,"find a long series"
length,"I need a quick watch"
length,"find a 13-episode series"
length,"play something with many seasons"
generic,"play anime"
generic,"I want to watch some anime"
generic,"find me a good anime"
generic,"I want to watch anime"
generic,"put on some anime"
generic,"stream anime"
generic,"show me anime"
generic,"queue an anime"
generic,"what anime should I watch"
generic,"play something"
generic,"I'm bored, play anime"
