category,template
show,"play {show}"
show,"put on {show}"
show,"I want to watch {show}"
show,"find {show} for me"
show,"play an episode of {show}"
show,"stream {show}"
show,"I want to watch an episode of {show}"
show,"play season 1 of {show}"
show,"continue watching {show}"
show,"can you play {show}"
show,"show me {show}"
show,"I'd like to watch {show}"
show,"watch {show}"
show,"I want to see {show}"
show,"play the next episode of {show}"
show,"queue {show}"
show,"put {show} on"
show,"resume {show}"
show,"what's next in {show}"
episode,"play the next episode of {show}"
episode,"continue {{show}} from where I left off"
episode,"play a new episode of {show}"
episode,"put on a {{show}} episode"
episode,"find the latest {{show}} episode"
episode,"queue the next {{show}}"
episode,"I want to watch the next {{show}}"
episode,"stream new {{show}}"
episode,"play the most recent {{show}} episode"
episode,"what's the newest {{show}} episode"
season,"play season {season} of {show}"
season,"I want to watch season {{season}} of {show}"
season,"stream season {{season}} of {show}"
season,"start from season {{season}} of {show}"
season,"put on season {{season}} of {show}"
season,"show me season {{season}} of {show}"
season,"find season {{season}} of {show}"
genre,"play a {genre} show"
genre,"I want to watch a {{genre}} series"
genre,"find me a {{genre}} TV show"
genre,"put on something {{genre}}"
genre,"show me a {{genre}} show"
genre,"I'm in the mood for {{genre}}"
genre,"stream a {{genre}} series"
genre,"queue a {{genre}} show"
provider,"find a show on {provider}"
provider,"stream a series on {provider}"
provider,"show me what's on {provider}"
provider,"play something from {provider}"
provider,"find shows available on {provider}"
network,"show me {{network}} shows"
network,"I want to watch something from {{network}}"
network,"find me a {{network}} production"
network,"play a {{network}} series"
era,"play a classic TV show"
era,"I want to watch something recent"
era,"find me a new series"
era,"show me a retro show"
era,"I want something from the 90s"
era,"play a new release"
era,"find me an ongoing series"
status,"continue my watchlist"
status,"resume from where I stopped"
status,"show me what I'm watching"
status,"what series am I following"
status,"find new releases"
status,"show me upcoming episodes"
discovery,"recommend a TV show"
discovery,"suggest something to watch"
discovery,"find shows like {show}"
discovery,"what's similar to {{show}}"
discovery,"recommend series like {show}"
discovery,"show me trending shows"
discovery,"what should I binge next"
discovery,"surprise me with a series"
discovery,"what's popular right now"
discovery,"find hidden gems on TV"
length,"I want something short to watch"
length,"play a quick show"
length,"find a long series to binge"
length,"I need a miniseries"
length,"show me single-season shows"
generic,"play a TV show"
generic,"watch a series"
generic,"I want to watch a show"
generic,"find me something to watch"
generic,"put on something"
generic,"queue a show"
generic,"I'm bored, play a TV show"
generic,"find me a series"
generic,"show me a show"
generic,"I want to see what's on"
generic,"stream something"
generic,"what should I watch"
generic,"play anything good"
generic,"I want to binge something"
