category,template
title,"riproduci {title}"
title,"guarda {title}"
title,"voglio guardare {title}"
title,"metti su {title}"
title,"riproduci un episodio di {title}"
title,"trasmetti {title}"
title,"trova {title} per me"
title,"mi piacerebbe guardare {{title}}"
title,"riproduci l'anime {{title}}"
title,"mostrami {{title}}"
title,"metti in coda {{title}}"
title,"riprendi {{title}}"
title,"continua {{title}}"
season,"riproduci la stagione 1 di {title}"
season,"voglio guardare la stagione {{season}} di {title}"
season,"trasmetti la stagione {{season}} di {{title}}"
season,"metti su la stagione {{season}}"
season,"trova la stagione {{season}}"
episode,"riproduci il prossimo episodio di {title}"
episode,"continua {{title}} da dove l'ho lasciato"
episode,"metti su un nuovo episodio {{title}}"
episode,"trova l'ultimo episodio {{title}}"
episode,"metti in coda il prossimo {{title}}"
episode,"qual è il più nuovo episodio {{title}}"
genre,"riproduci anime {{genre}}"
genre,"voglio guardare {{genre}}"
genre,"trovami anime {{genre}}"
genre,"metti su un po' di {{genre}}"
genre,"sono in vena di {{genre}}"
genre,"trasmetti anime {{genre}}"
genre,"metti in coda serie {{genre}}"
genre,"mostrami serie {{genre}}"
genre,"trova contenuti {{genre}}"
mood,"voglio qualcosa di puro azione"
mood,"riproduci qualcosa di divertente"
mood,"trovami qualcosa di romantico"
mood,"voglio qualcosa di oscuro"
mood,"riproduci qualcosa di commovente"
mood,"trovami qualcosa di stimolante"
mood,"voglio un'avventura epica"
mood,"riproduci qualcosa di carino"
mood,"trovami qualcosa di misterioso"
mood,"voglio qualcosa di emotivo"
era,"riproduci un anime classico"
era,"voglio qualcosa di recente"
era,"trovami un nuovo anime"
era,"mostrami release recenti"
era,"voglio qualcosa degli anni 2000"
era,"riproduci un anime retrò"
era,"trovami un gioiello nascosto di anime"
studio,"trova anime di {{studio}}"
studio,"voglio produzioni {{studio}}"
studio,"mostrami anime {{studio}}"
studio,"riproduci qualcosa di {{studio}}"
type,"voglio una serie TV"
type,"trova un film"
type,"voglio una serie breve"
type,"riproduci un OVA"
type,"trovami un one-shot"
status,"continua la mia watchlist"
status,"riprendi da dove ho smesso"
status,"mostrami cosa sto guardando"
status,"quale anime sto seguendo"
status,"trova nuove uscite"
status,"mostrami serie in corso"
status,"trovami serie completate"
discovery,"consigliami un anime"
discovery,"suggerisci qualcosa da guardare"
discovery,"trova anime come {{title}}"
discovery,"cosa è simile a {{title}}"
discovery,"consigliami serie come {{title}}"
discovery,"mostrami anime di tendenza"
discovery,"cosa dovrei guardare dopo"
discovery,"sorprendimi con un anime"
discovery,"cosa è popolare adesso"
discovery,"trovami i gioielli nascosti"
provider,"trovami anime su {{provider}}"
provider,"trasmetti da {{provider}}"
provider,"mostrami cosa c'è su {{provider}}"
provider,"riproduci qualcosa da {{provider}}"
rating,"mostrami anime top-rated"
rating,"voglio una serie acclamata dalla critica"
rating,"trovami anime molto valutati"
rating,"riproduci uno show molto apprezzato"
length,"voglio un anime breve"
length,"trovami una lunga serie"
length,"mi serve una visione veloce"
length,"trovami una serie di 13 episodi"
length,"riproduci qualcosa con molte stagioni"
generic,"riproduci anime"
generic,"voglio guardare un po' di anime"
generic,"trovami un buon anime"
generic,"voglio guardare anime"
generic,"metti su un po' di anime"
generic,"trasmetti anime"
generic,"mostrami anime"
generic,"metti in coda un anime"
generic,"quale anime dovrei guardare"
generic,"riproduci qualcosa"
generic,"mi annoio, riproduci anime"
