category,template
generic,"reproduce las noticias"
generic,"quiero oír las noticias"
generic,"dame las últimas noticias"
generic,"qué hay en las noticias hoy"
generic,"lee los titulares"
generic,"cuál es la noticia más reciente"
generic,"reproduce las noticias matutinas"
generic,"reproduce las noticias de hoy"
generic,"ponte al día con las noticias"
generic,"emitir las noticias"
generic,"me gustaría oír las noticias"
generic,"reproduce las noticias vespertinas"
generic,"busca cobertura de noticias"
generic,"muéstrame qué está pasando"
generic,"quiero actualidad"
provider,"reproduce noticias de {provider}"
provider,"quiero oír las noticias de {{provider}}"
provider,"emitir noticias de {{provider}}"
provider,"reproduce noticias de {{provider}}"
provider,"busca las noticias de {{provider}}"
provider,"qué dice {{provider}} hoy"
provider,"sintoniza {{provider}}"
provider,"muéstrame {{provider}}"
provider,"pon noticias de {{provider}} en cola"
category,"reproduce noticias de {{category}}"
category,"quiero oír noticias de {{category}}"
category,"muéstrame {{category}}"
category,"busca actualizaciones de {{category}}"
category,"pon noticias de {{category}}"
category,"emitir {{category}}"
category,"pon {{category}} en cola"
category,"me interesa {{category}}"
category,"dame titulares de {{category}}"
time,"reproduce el resumen matutino"
time,"quiero las noticias vespertinas"
time,"reproduce la actualización de noticias de hoy"
time,"dame los últimos titulares"
time,"reproduce las noticias del mediodía"
time,"quiero las noticias nocturnas"
time,"muéstrame noticias de última hora"
time,"busca cobertura en directo"
time,"reproduce noticias recientes"
topic,"quiero noticias sobre {{topic}}"
topic,"busca cobertura de {{topic}}"
topic,"reproduce noticias sobre {{topic}}"
topic,"muéstrame actualizaciones de {{topic}}"
topic,"emitir noticias de {{topic}}"
topic,"pon historias de {{topic}} en cola"
topic,"qué hay nuevo sobre {{topic}}"
topic,"dame titulares de {{topic}}"
topic,"me interesa {{topic}}"
region,"reproduce noticias de {{region}}"
region,"quiero noticias de {{region}}"
region,"emitir cobertura de {{region}}"
region,"muéstrame titulares de {{region}}"
region,"busca noticias de {{region}}"
region,"qué está pasando en {{region}}"
language,"reproduce noticias en {{language}}"
language,"quiero cobertura de noticias en {{language}}"
language,"muéstrame titulares en {{language}}"
language,"emitir en {{language}}"
source,"busca cobertura de {{source}}"
source,"quiero reportajes de {{source}}"
source,"muéstrame {{source}}"
source,"reproduce noticias de {{source}}"
source,"emitir {{source}}"
source,"pon {{source}} en cola"
discovery,"qué es tendencia"
discovery,"muéstrame las historias principales"
discovery,"qué debería saber hoy"
discovery,"noticias sorprendentes"
discovery,"titulares importantes"
discovery,"últimas noticias"
discovery,"historias principales ahora"
format,"reproduce un podcast de noticias"
format,"quiero un programa de noticias en vídeo"
format,"muéstrame resúmenes escritos"
format,"reproduce una transmisión de noticias"
format,"emitir noticias en vídeo"
mood,"quiero un resumen completo"
mood,"dame la versión rápida"
mood,"quiero análisis en profundidad"
mood,"reproduce cobertura ligera"
mood,"busca periodismo serio"
weather,"qué tiempo hace"
weather,"cuéntame el tiempo"
weather,"reproduce la previsión del tiempo"
weather,"quiero saber el tiempo"
traffic,"cuéntame el tráfico"
traffic,"reproduce actualizaciones de tráfico"
traffic,"cuál es la situación del tráfico"
traffic,"busca noticias de tráfico"
sports,"reproduce noticias deportivas"
sports,"quiero actualizaciones deportivas"
sports,"muéstrame titulares deportivos"
sports,"emitir cobertura deportiva"
business,"reproduce noticias de negocios"
business,"quiero noticias financieras"
business,"muéstrame actualizaciones del mercado"
business,"emitir cobertura empresarial"
tech,"reproduce noticias de tecnología"
tech,"quiero actualizaciones tecnológicas"
tech,"muéstrame titulares de tecnología"
tech,"emitir cobertura de tecnología"
generic,"reproduce algo"
generic,"quiero actualidad"
generic,"muéstrame qué está pasando"
generic,"dame actualizaciones"
generic,"emitir noticias"
generic,"pon noticias en cola"
