category,template
station,"play {station}"
station,"tune into {station}"
station,"put on {station}"
station,"I want to listen to {station}"
station,"play {{station}} radio"
station,"stream {{station}}"
station,"find {{station}}"
station,"turn on {{station}}"
station,"switch to {{station}}"
station,"can you play {{station}}"
station,"queue {{station}}"
station,"show me {{station}}"
station,"I'd like to hear {{station}}"
station,"resume {{station}}"
genre,"play {{genre}} radio"
genre,"I want to listen to {{genre}} radio"
genre,"find me a {{genre}} radio station"
genre,"put on some {{genre}} radio"
genre,"stream some {{genre}} radio"
genre,"I'm in the mood for {{genre}}"
genre,"queue {{genre}}"
genre,"show me {{genre}} stations"
genre,"play {{genre}} for me"
genre,"find a {{genre}} station"
genre,"tune into {{genre}} radio"
format,"play an AM radio station"
format,"I want FM radio"
format,"find a satellite radio station"
format,"stream internet radio"
format,"put on online radio"
format,"queue a podcast radio"
stream,"stream {{station}}"
stream,"I want to stream {{station}}"
stream,"find a stream"
stream,"play a live stream"
stream,"queue a stream"
stream,"I want streaming radio"
mood,"I want relaxing music"
mood,"play something upbeat"
mood,"find me jazz radio"
mood,"put on classical"
mood,"I want rock music"
mood,"play something chill"
mood,"find energetic music"
mood,"I want ambient sounds"
mood,"play talk radio"
mood,"find news radio"
location,"play {{location}} radio"
location,"I want {{location}} station"
location,"find a {{location}} radio"
location,"show me {{location}} radio"
location,"tune into {{location}}"
language,"play {{language}} radio"
language,"I want {{language}} station"
language,"find a {{language}} radio"
language,"stream in {{language}}"
availability,"find what's available now"
availability,"what can I tune into"
availability,"show me current stations"
availability,"play something available"
availability,"queue what's on"
discovery,"recommend a radio station"
discovery,"suggest something to listen to"
discovery,"find new radio stations"
discovery,"what should I tune into"
discovery,"show me trending stations"
discovery,"surprise me with a station"
discovery,"find hidden gem stations"
discovery,"what's popular right now"
category,"I want talk radio"
category,"play music radio"
category,"find news radio"
category,"stream sports radio"
category,"play variety radio"
category,"find comedy radio"
category,"put on educational radio"
provider,"find radio on {{provider}}"
provider,"stream from {{provider}}"
provider,"show me {{provider}} stations"
provider,"play {{provider}} radio"
generic,"play the radio"
generic,"turn on the radio"
generic,"find me a radio station"
generic,"put on some radio"
generic,"stream radio"
generic,"I want to listen to the radio"
generic,"show me radio"
generic,"queue a station"
generic,"I'm bored, play radio"
generic,"play something"
