category,template
artist_name,I want the {artist_name} guest show
artist_name,I want to hear {artist_name} on a podcast
artist_name,find a podcast with {artist_name}
artist_name,find an interview with {artist_name} on a podcast
artist_name,find me a podcast featuring {artist_name}
artist_name,find the episode where {artist_name} was interviewed
artist_name,find {artist_name}'s guest spot on a podcast
artist_name,get me the {artist_name} interview podcast
artist_name,is there a new interview with {artist_name}
artist_name,is there a podcast featuring {artist_name}
artist_name,is {artist_name} featured in any podcasts
artist_name,let's hear {artist_name}'s podcast appearance
artist_name,play a podcast about {artist_name}
artist_name,play a podcast covering {artist_name}'s music
artist_name,play the latest show about {artist_name}
artist_name,play the show where they discuss {artist_name}
artist_name,play the {artist_name} interview episode
artist_name,play {artist_name} talking on a podcast
artist_name,search for {artist_name} in podcasts
artist_name,show me podcasts about {artist_name}
artist_name,stream the podcast about {artist_name}
movie_actor,I want the {movie_actor} guest episode
movie_actor,I want to hear {movie_actor} on a podcast
movie_actor,find a conversation with {movie_actor}
movie_actor,find an interview podcast featuring {movie_actor}
movie_actor,find an interview with {movie_actor}
movie_actor,find me a podcast featuring {movie_actor}
movie_actor,find {movie_actor}'s guest appearance on a podcast
movie_actor,get me the {movie_actor} interview podcast
movie_actor,is there a new interview with {movie_actor}
movie_actor,is there a podcast with {movie_actor}
movie_actor,is {movie_actor} in any podcasts
movie_actor,let's hear {movie_actor}'s podcast interview
movie_actor,play a podcast with {movie_actor}
movie_actor,play the episode where {movie_actor} was the guest
movie_actor,play the latest show with {movie_actor}
movie_actor,play the show where they talk to {movie_actor}
movie_actor,play the {movie_actor} interview show
movie_actor,play {movie_actor} talking on a podcast
movie_actor,search for {movie_actor} in podcasts
movie_actor,show me podcasts with {movie_actor}
movie_actor,stream the podcast episode with {movie_actor}
news_category,I need a {news_category} daily update podcast
news_category,I want a podcast covering {news_category}
news_category,I want to listen to {news_category} podcasts
news_category,I'm looking for a {news_category} news show
news_category,find a daily podcast about {news_category}
news_category,find me a weekly show about {news_category}
news_category,find me a {news_category} podcast
