category,template
anime_title,I want to see how {anime_title} was drawn
anime_title,I want to see the making of {anime_title}
anime_title,find behind the scenes content for {anime_title}
anime_title,find the animation breakdown for {anime_title}
anime_title,find the dubbing featurette for {anime_title}
anime_title,find the {anime_title} production featurette
anime_title,how was {anime_title} animated
anime_title,how was {anime_title} made
anime_title,play behind the scenes of {anime_title}
anime_title,play the animation production for {anime_title}
anime_title,play the {anime_title} studio featurette
anime_title,play voice actor interviews from {anime_title}
anime_title,show me how they animated {anime_title}
anime_title,show me the animation process for {anime_title}
anime_title,show me the art style development for {anime_title}
anime_title,show me the {anime_title} production process
anime_title,show me voice acting sessions for {anime_title}
anime_title,show the making of {anime_title}
behind_the_scenes,I want behind the scenes of {behind_the_scenes}
behind_the_scenes,I want to know how they filmed {behind_the_scenes}
behind_the_scenes,I want to see how they built the sets for {behind_the_scenes}
behind_the_scenes,I want to see the VFX breakdown for {behind_the_scenes}
behind_the_scenes,I want to see the costume design featurette for {behind_the_scenes}
behind_the_scenes,I want to see the making of {behind_the_scenes}
behind_the_scenes,I want to watch the {behind_the_scenes} featurette
behind_the_scenes,find actor interviews from {behind_the_scenes}
behind_the_scenes,find alternate endings for {behind_the_scenes}
behind_the_scenes,find behind the camera footage from {behind_the_scenes}
behind_the_scenes,find behind the scenes from {behind_the_scenes}
behind_the_scenes,find bloopers from {behind_the_scenes}
behind_the_scenes,find cast interviews from {behind_the_scenes}
behind_the_scenes,find deleted scenes from {behind_the_scenes}
behind_the_scenes,find featurettes for {behind_the_scenes}
behind_the_scenes,find set tour footage from {behind_the_scenes}
behind_the_scenes,find the director's commentary for {behind_the_scenes}
behind_the_scenes,find the director's cut content for {behind_the_scenes}
behind_the_scenes,find the extended cut extras for {behind_the_scenes}
behind_the_scenes,find the featurette for {behind_the_scenes}
behind_the_scenes,find the gag reel for {behind_the_scenes}
behind_the_scenes,find the making of {behind_the_scenes}
behind_the_scenes,find the making-of documentary for {behind_the_scenes}
behind_the_scenes,find the motion capture featurette for {behind_the_scenes}
behind_the_scenes,find the production notes for {behind_the_scenes}
behind_the_scenes,find the stunt breakdown for {behind_the_scenes}
behind_the_scenes,got any {behind_the_scenes} behind the scenes content
behind_the_scenes,is there a making of for {behind_the_scenes}
behind_the_scenes,is there any extra content for {behind_the_scenes}
behind_the_scenes,load behind the scenes content for {behind_the_scenes}
behind_the_scenes,play alternate endings from {behind_the_scenes}
behind_the_scenes,play behind the scenes of {behind_the_scenes}
behind_the_scenes,play bloopers from {behind_the_scenes}
behind_the_scenes,play bonus content from {behind_the_scenes}
behind_the_scenes,play cast interviews from {behind_the_scenes}
behind_the_scenes,play deleted scenes from {behind_the_scenes}
behind_the_scenes,play extra content from {behind_the_scenes}
behind_the_scenes,play on-set videos from {behind_the_scenes}
behind_the_scenes,play production notes for {behind_the_scenes}
behind_the_scenes,play stunt featurettes from {behind_the_scenes}
behind_the_scenes,play the VFX reel for {behind_the_scenes}
behind_the_scenes,play the behind the scenes documentary for {behind_the_scenes}
behind_the_scenes,play the director's commentary for {behind_the_scenes}
behind_the_scenes,play the director's cut featurette for {behind_the_scenes}
behind_the_scenes,play the featurette for {behind_the_scenes}
behind_the_scenes,play the filming featurette for {behind_the_scenes}
behind_the_scenes,play the gag reel from {behind_the_scenes}
behind_the_scenes,play the making of {behind_the_scenes}
behind_the_scenes,play the motion capture breakdown for {behind_the_scenes}
behind_the_scenes,play the practical effects breakdown for {behind_the_scenes}
behind_the_scenes,play the premiere interviews for {behind_the_scenes}
behind_the_scenes,play the press junket interviews for {behind_the_scenes}
behind_the_scenes,play the production diary for {behind_the_scenes}
behind_the_scenes,play the set tour for {behind_the_scenes}
behind_the_scenes,play the set visit video for {behind_the_scenes}
behind_the_scenes,play the soundtrack featurette for {behind_the_scenes}
behind_the_scenes,play the visual effects featurette for {behind_the_scenes}
behind_the_scenes,pull up the making of {behind_the_scenes}
behind_the_scenes,queue up behind the scenes from {behind_the_scenes}
behind_the_scenes,show behind the scenes of {behind_the_scenes}
behind_the_scenes,show me a set tour for {behind_the_scenes}
behind_the_scenes,show me behind the scenes content for {behind_the_scenes}
