category,template
station,"joue {station}"
station,"mets-toi en accord avec {station}"
station,"mets {station}"
station,"je veux écouter {station}"
station,"joue la radio {{station}}"
station,"diffuse {{station}}"
station,"trouve {{station}}"
station,"allume {{station}}"
station,"change pour {{station}}"
station,"peux-tu jouer {{station}}"
station,"ajoute {{station}} à la file"
station,"montre-moi {{station}}"
station,"j'aimerais écouter {{station}}"
station,"reprends {{station}}"
genre,"joue la radio {{genre}}"
genre,"je veux écouter la radio {{genre}}"
genre,"trouve-moi une station {{genre}}"
genre,"mets un peu de radio {{genre}}"
genre,"diffuse un peu de radio {{genre}}"
genre,"je suis d'humeur pour du {{genre}}"
genre,"ajoute du {{genre}} à la file"
genre,"montre-moi les stations {{genre}}"
genre,"joue du {{genre}} pour moi"
genre,"trouve une station {{genre}}"
genre,"mets-toi en accord avec la radio {{genre}}"
format,"joue une station radio AM"
format,"je veux la radio FM"
format,"trouve une station radio satellite"
format,"diffuse la radio internet"
format,"mets la radio en ligne"
format,"ajoute une radio de podcast à la file"
stream,"diffuse {{station}}"
stream,"je veux diffuser {{station}}"
stream,"trouve un flux"
stream,"joue un flux direct"
stream,"ajoute un flux à la file"
stream,"je veux de la radio en flux continu"
mood,"je veux de la musique relaxante"
mood,"joue quelque chose de dynamique"
mood,"trouve-moi de la radio jazz"
mood,"mets du classique"
mood,"je veux de la musique rock"
mood,"joue quelque chose de cool"
mood,"trouve de la musique énergique"
mood,"je veux des sons ambiants"
mood,"joue une radio parlée"
mood,"trouve une radio d'informations"
location,"joue la radio {{location}}"
location,"je veux la station {{location}}"
location,"trouve une radio {{location}}"
location,"montre-moi la radio {{location}}"
location,"mets-toi en accord avec {{location}}"
language,"joue la radio {{language}}"
language,"je veux la station {{language}}"
language,"trouve une radio {{language}}"
language,"diffuse en {{language}}"
availability,"trouve ce qui est disponible maintenant"
availability,"qu'est-ce que je peux écouter"
availability,"montre-moi les stations actuelles"
availability,"joue quelque chose de disponible"
availability,"ajoute ce qui est à l'écoute à la file"
discovery,"recommande-moi une station radio"
discovery,"suggère-moi quelque chose à écouter"
discovery,"trouve de nouvelles stations radio"
discovery,"qu'est-ce que je devrais écouter"
discovery,"montre-moi les stations tendances"
discovery,"surprends-moi avec une station"
discovery,"trouve les joyaux cachés des stations"
discovery,"qu'est-ce qui est populaire en ce moment"
category,"je veux une radio parlée"
category,"joue une radio musicale"
category,"trouve une radio d'informations"
category,"diffuse une radio sportive"
category,"joue une radio variée"
category,"trouve une radio comique"
category,"mets une radio éducative"
provider,"trouve la radio sur {{provider}}"
provider,"diffuse depuis {{provider}}"
provider,"montre-moi les stations {{provider}}"
provider,"joue la radio {{provider}}"
generic,"joue la radio"
generic,"allume la radio"
generic,"trouve-moi une station radio"
generic,"mets un peu de radio"
generic,"diffuse la radio"
generic,"je veux écouter la radio"
generic,"montre-moi la radio"
generic,"ajoute une station à la file"
generic,"je m'ennuie, joue la radio"
generic,"joue quelque chose"
