category,template
title,"reproduce {title}"
title,"mira {title}"
title,"quero ver {title}"
title,"pon {title}"
title,"reproduce un episodio de {title}"
title,"transmite {title}"
title,"busca {title} para min"
title,"gustaríame ver {{title}}"
title,"reproduce o anime {{title}}"
title,"amósame {{title}}"
title,"engade á cola {{title}}"
title,"retoma {{title}}"
title,"continúa {{title}}"
season,"reproduce a primeira temporada de {title}"
season,"quero ver a temporada {{season}} de {title}"
season,"transmite a temporada {{season}} de {{title}}"
season,"pon a temporada {{season}}"
season,"busca a temporada {{season}}"
episode,"reproduce o seguinte episodio de {title}"
episode,"continúa {{title}} onde deixei"
episode,"pon un novo episodio de {{title}}"
episode,"busca o últime episodio de {{title}}"
episode,"engade á cola o seguinte {{title}}"
episode,"cal é o novo episodio de {{title}}"
genre,"reproduce anime {{genre}}"
genre,"quero ver {{genre}}"
genre,"búscame anime {{genre}}"
genre,"pon algo de {{genre}}"
genre,"estou de mood para {{genre}}"
genre,"transmite anime {{genre}}"
genre,"engade á cola programas de {{genre}}"
genre,"amósame series de {{genre}}"
genre,"busca contido de {{genre}}"
mood,"quero algo con acción"
mood,"reproduce algo divertido"
mood,"búscame algo romántico"
mood,"quero algo oscuro"
mood,"reproduce algo reconfortante"
mood,"búscame algo que faga pensar"
mood,"quero una aventura épica"
mood,"reproduce algo moi bonito"
mood,"búscame algo misterioso"
mood,"quero algo emocional"
era,"reproduce un anime clásico"
era,"quero algo recente"
era,"búscame un anime novo"
era,"amósame lanzamentos recentes"
era,"quero algo dos anos 2000"
era,"reproduce un anime retro"
era,"busca un anime xoia escondida"
studio,"busca anime de {{studio}}"
studio,"quero produccións de {{studio}}"
studio,"amósame anime de {{studio}}"
studio,"reproduce algo de {{studio}}"
type,"quero una serie de TV"
type,"busca unha película"
type,"quero una serie curta"
type,"reproduce un OVA"
type,"busca un one-shot"
status,"continúa coa minha lista de ver"
status,"retoma onde parasei"
status,"amósame que estou vendo"
status,"que anime estou seguindo"
status,"busca lanzamentos novos"
status,"amósame series en directo"
status,"busca series completadas"
discovery,"recomendame un anime"
discovery,"sugíreme algo para ver"
discovery,"busca anime como {{title}}"
discovery,"que é parecido a {{title}}"
discovery,"recomenda programas como {{title}}"
discovery,"amósame anime en tendencia"
discovery,"que debería ver agora"
discovery,"sorprendeme con un anime"
discovery,"que é popular agora"
discovery,"busca xoias escondidas"
provider,"busca anime en {{provider}}"
provider,"transmite de {{provider}}"
provider,"amósame que está en {{provider}}"
provider,"reproduce algo de {{provider}}"
rating,"amósame anime máis valorado"
rating,"quero una serie aclamada pola crítica"
rating,"busca anime muy valorado"
rating,"reproduce un programa con excelentes críticas"
length,"quero un anime curto"
length,"busca una serie larga"
length,"preciso algo rápido de ver"
length,"busca una serie de 13 episodios"
length,"reproduce algo con varias temporadas"
generic,"reproduce anime"
generic,"quero ver algo de anime"
generic,"búscame un buen anime"
generic,"quero ver anime"
generic,"pon algo de anime"
generic,"transmite anime"
generic,"amósame anime"
generic,"engade á cola un anime"
generic,"que anime debería ver"
generic,"reproduce algo"
generic,"me aburro, reproduce anime"
