category,template
title,"play {title}"
title,"I want to play {title}"
title,"launch {title}"
title,"start {title}"
title,"open {title}"
title,"I'd like to play {title}"
title,"find {title}"
title,"load {title}"
title,"boot up {title}"
title,"can you play {{title}}"
title,"queue {{title}}"
title,"put {{title}} on"
title,"run {{title}}"
genre,"play a {{genre}} game"
genre,"I want to play {{genre}}"
genre,"find me a {{genre}} game"
genre,"put on a {{genre}} game"
genre,"I'm in the mood for {{genre}}"
genre,"stream a {{genre}} game"
genre,"queue a {{genre}} game"
genre,"show me {{genre}} games"
genre,"I want something {{genre}}"
platform,"find a {{platform}} game"
platform,"I want to play on {{platform}}"
platform,"show me {{platform}} games"
platform,"what {{platform}} games should I play"
platform,"queue a {{platform}} game"
platform,"play something on {{platform}}"
mood,"I want something relaxing"
mood,"play something challenging"
mood,"find me something fun"
mood,"I want something competitive"
mood,"play something cooperative"
mood,"find me something strategic"
mood,"I want an adventure"
mood,"play something scary"
mood,"find me something funny"
mood,"I want something story-driven"
mode,"play single player"
mode,"I want multiplayer"
mode,"find a cooperative game"
mode,"play something competitive"
mode,"I want online gaming"
mode,"find local multiplayer"
difficulty,"I want something easy"
difficulty,"play something hard"
difficulty,"find a challenging game"
difficulty,"I want a casual game"
difficulty,"play something for hardcore players"
length,"I want a quick game"
length,"find a long game to sink into"
length,"I need a short session"
length,"play something for a few hours"
duration,"I have 30 minutes"
duration,"I have an hour"
duration,"I have all evening"
duration,"find a game I can play in one sitting"
exploration,"find indie games"
exploration,"show me hidden gems"
exploration,"recommend a game"
exploration,"what game should I play"
exploration,"surprise me with a game"
exploration,"suggest something new"
exploration,"what's trending in gaming"
exploration,"find games like {{title}}"
rating,"show me top-rated games"
rating,"I want a critically acclaimed game"
rating,"find highly rated games"
rating,"play a game with great reviews"
franchise,"find {{title}} games"
franchise,"play something from the {{title}} series"
franchise,"what {{title}} game should I play"
franchise,"queue {{title}}"
retro,"play a classic game"
retro,"I want a retro game"
retro,"find an old game"
retro,"show me games from {{year}}"
retro,"I want an arcade game"
recent,"play a new release"
recent,"find a recent game"
recent,"what's new in gaming"
recent,"show me games from {{year}}"
recent,"queue the latest release"
provider,"find a game on {{provider}}"
provider,"stream from {{provider}}"
provider,"show me {{provider}} games"
provider,"play something from {{provider}}"
generic,"play a game"
generic,"I want to play a video game"
generic,"start a game"
generic,"I'm bored, play a game"
generic,"find me a game"
generic,"show me a game"
generic,"what game should I play"
generic,"surprise me with a game"
generic,"play anything good"
generic,"queue a game"
