category,template
anime_title+music_genre,find {music_genre} songs from {anime_title}
anime_title+music_genre,play the {music_genre} music from {anime_title}
anime_title+music_genre,play the {music_genre} soundtrack of {anime_title}
anime_title,I feel like watching {anime_title}
anime_title,I finished season 1 of {anime_title} — play season 2
anime_title,I finished {anime_title} — what's next
anime_title,I left off at episode 5 of {anime_title}
anime_title,I need my {anime_title} fix
anime_title,I want the live action {anime_title}
anime_title,I want the subtitled version of {anime_title}
anime_title,I want the uncut version of {anime_title}
anime_title,I want to binge {anime_title}
anime_title,I want to rewatch {anime_title}
anime_title,I want to start watching {anime_title}
anime_title,I want to watch {anime_title}
anime_title,I want to watch {anime_title} with English dub
anime_title,I was watching {anime_title} — pick it back up
anime_title,I'd like to start {anime_title}
anime_title,I'd like to watch {anime_title}
anime_title,I'm catching up on {anime_title}
anime_title,I've heard good things about {anime_title} — play it
anime_title,any good anime like {anime_title}
anime_title,binge {anime_title}
anime_title,can I watch {anime_title}
anime_title,can you play {anime_title}
anime_title,chuck on {anime_title}
anime_title,continue watching {anime_title} from last time
anime_title,continue {anime_title}
anime_title,do you have {anime_title}
anime_title,find me {anime_title} to watch
anime_title,find something similar to {anime_title}
anime_title,find the live action adaptation of {anime_title}
anime_title,find {anime_title}
anime_title,get {anime_title} on
anime_title,go back to {anime_title}
anime_title,is {anime_title} available
anime_title,let's watch {anime_title}
anime_title,load up the next episode of {anime_title}
anime_title,load {anime_title}
anime_title,pick up {anime_title} where I left off
anime_title,play a random episode of {anime_title}
anime_title,play an episode of {anime_title}
anime_title,play episode 1 of {anime_title}
anime_title,play episode 10 of {anime_title}
anime_title,play episode 5 of {anime_title}
anime_title,play from where I stopped watching {anime_title}
anime_title,play season 3 of {anime_title}
anime_title,play season one of {anime_title}
anime_title,play some {anime_title}
anime_title,play the English dub of {anime_title}
anime_title,play the anime {anime_title}
anime_title,play the dub of {anime_title}
anime_title,play the dubbed version of {anime_title}
anime_title,play the final episode of {anime_title}
anime_title,play the finale of {anime_title}
anime_title,play the first episode of {anime_title}
anime_title,play the last episode of {anime_title}
anime_title,play the latest episode of {anime_title}
