category,template
anime_title,I want to see {anime_title} with real actors
anime_title,I want to watch the {anime_title} live action
anime_title,can you find the {anime_title} TV series
anime_title,find me the series adaptation of {anime_title}
anime_title,find the TV adaptation of {anime_title}
anime_title,find the live action show for {anime_title}
anime_title,is there a TV series for {anime_title} that isn't anime
anime_title,is there a live action series based on {anime_title}
anime_title,is {anime_title} available as a live action show
anime_title,load the live action version of {anime_title}
anime_title,play the live action version of {anime_title}
anime_title,play the live action {anime_title} adaptation
anime_title,play the non-animated version of {anime_title}
anime_title,play the {anime_title} live action show
anime_title,put on the live action {anime_title}
anime_title,show me the non-anime version of {anime_title}
anime_title,start the series version of {anime_title}
anime_title,stream the live action {anime_title} show
anime_title,stream the television series based on {anime_title}
anime_title,watch the live action {anime_title} series
audiobook_title,I read {audiobook_title} — now play the TV show
audiobook_title,I want the TV version of {audiobook_title}
audiobook_title,I want to watch the {audiobook_title} show
audiobook_title,can you find the TV show {audiobook_title}
audiobook_title,find the TV adaptation of {audiobook_title}
audiobook_title,find the TV spinoff of {audiobook_title}
audiobook_title,find the series from the novel {audiobook_title}
audiobook_title,find the show they made from {audiobook_title}
audiobook_title,is there a TV show based on {audiobook_title}
audiobook_title,is {audiobook_title} a TV series too
audiobook_title,load the series based on {audiobook_title}
audiobook_title,play the TV series that adapted {audiobook_title}
audiobook_title,play the book-to-series {audiobook_title}
audiobook_title,play the series based on the book {audiobook_title}
audiobook_title,play the series version of {audiobook_title}
audiobook_title,play the television series of {audiobook_title}
audiobook_title,put on the show inspired by {audiobook_title}
audiobook_title,show me the TV adaptation of {audiobook_title}
audiobook_title,start the show adapted from {audiobook_title}
audiobook_title,stream the show based on the book {audiobook_title}
audiobook_title,stream the show version of {audiobook_title}
audiobook_title,watch the show based on {audiobook_title}
game_title,I want to see the {game_title} series
game_title,can you find the {game_title} show
game_title,find the TV spinoff of {game_title}
game_title,find the live action show for {game_title}
game_title,find the series adaptation of {game_title}
game_title,is there a TV show based on {game_title}
game_title,is there an adaptation of {game_title}
game_title,is {game_title} available as a series
game_title,load the series based on the game {game_title}
game_title,play the TV show based on {game_title}
game_title,play the live action series of {game_title}
game_title,play the series version of {game_title}
game_title,play the show inspired by the game {game_title}
game_title,play the {game_title} television show
game_title,put on the {game_title} TV adaptation
game_title,show me the show from the game {game_title}
game_title,start the show based on {game_title}
game_title,stream the series from {game_title}
game_title,stream the {game_title} TV series
game_title,watch the show based on the game {game_title}
movie_title,I loved {movie_title} — is there a show
movie_title,I want the series inspired by {movie_title}
movie_title,I watched {movie_title} and want the show now
movie_title,I'm looking for the {movie_title} show
movie_title,can you find the {movie_title} show
movie_title,find the TV show version of {movie_title}
