category,template
title,"play {title}"
title,"read me {title}"
title,"I want to listen to {title}"
title,"play the audiobook {title}"
title,"find the audiobook {title}"
title,"I want to hear {title}"
title,"queue {title}"
title,"put on {title}"
title,"stream {title}"
title,"I'd like to listen to {{title}}"
title_author,"play {title} by {author}"
title_author,"read {{title}} to me"
title_author,"I want to listen to {{title}} by {author}"
title_author,"find me {{title}} by {{author}}"
title_author,"put on {{title}} by {{author}}"
title_author,"stream {{title}} from {{author}}"
author,"find me an audiobook by {author}"
author,"play a book by {author}"
author,"I'd like to listen to {author}"
author,"read me something by {author}"
author,"play an audiobook by {author}"
author,"find an audiobook by {{author}}"
author,"queue a {{author}} audiobook"
author,"I want {{author}}'s work"
author,"stream {{author}}"
author,"put on something by {{author}}"
author,"show me {{author}} audiobooks"
genre,"play a {{genre}} audiobook"
genre,"I want to listen to a {{genre}} book"
genre,"find me a {{genre}} audiobook"
genre,"put on something {{genre}}"
genre,"stream a {{genre}} audiobook"
genre,"queue a {{genre}} book"
genre,"I'm in the mood for {{genre}}"
genre,"show me {{genre}} stories"
narrator,"play something narrated by {narrator}"
narrator,"I want to listen to {{narrator}}'s narration"
narrator,"find an audiobook by {{narrator}}"
narrator,"queue a {{narrator}} audiobook"
narrator,"put on a {{narrator}} book"
mood,"I want something relaxing"
mood,"play something thrilling"
mood,"find me something funny"
mood,"I want something sad"
mood,"play something inspiring"
mood,"find me an adventure"
mood,"I want a mystery"
mood,"play something romantic"
mood,"find me something dark"
series,"continue the {{title}} series"
series,"play the next book in {{title}}"
series,"I want to listen to {{title}} series"
series,"find the {{title}} series"
series,"queue the next book in {{title}}"
duration,"I want a short audiobook"
duration,"play something quick"
duration,"find a long audiobook for tonight"
duration,"I need an audiobook for a road trip"
duration,"play a multi-hour audiobook"
discovery,"recommend an audiobook"
discovery,"suggest something to listen to"
discovery,"find books like {{title}}"
discovery,"what should I listen to next"
discovery,"recommend authors like {{author}}"
discovery,"show me new releases"
discovery,"surprise me with an audiobook"
discovery,"what's trending in audiobooks"
format,"play an unabridged audiobook"
format,"I want an abridged version"
format,"find a dramatized audiobook"
provider,"find an audiobook on {{provider}}"
provider,"stream from {{provider}}"
provider,"show me what's on {{provider}}"
status,"continue where I left off"
status,"resume my audiobook"
status,"show me my listening list"
status,"what am I currently listening to"
generic,"play an audiobook"
generic,"read me a book"
generic,"I want to listen to a book"
generic,"find me something to listen to"
generic,"play something"
generic,"I want to hear a story"
generic,"queue an audiobook"
generic,"I'm bored, play an audiobook"
generic,"find me an audiobook"
generic,"show me a book"
generic,"I want to listen to something"
generic,"stream an audiobook"
