category,template
anime_title,I'd like the news update for {anime_title}
anime_title,are there any recent updates on {anime_title}
anime_title,find anime news for {anime_title}
anime_title,find me the latest news on {anime_title}
anime_title,find news about {anime_title}
anime_title,get me the latest stories on {anime_title}
anime_title,give me the news about {anime_title}
anime_title,is there anything new about {anime_title} in the news
anime_title,is {anime_title} in the news lately
anime_title,play news about {anime_title}
anime_title,play stories featuring {anime_title}
anime_title,play the latest news segment on {anime_title}
anime_title,show me news reports about {anime_title}
anime_title,stream news regarding the anime {anime_title}
anime_title,what are the headlines for {anime_title}
anime_title,what's happening with {anime_title}
anime_title,what's happening with {anime_title} in the news
anime_title,what's the latest on {anime_title}
artist_name,I want to hear news about {artist_name}
artist_name,I'd like the news update for {artist_name}
artist_name,are there any news updates about {artist_name}
artist_name,are there any recent updates on {artist_name}
artist_name,find entertainment coverage of {artist_name}
artist_name,find me the latest news on {artist_name}
artist_name,find news stories about {artist_name}
artist_name,get me the latest stories on {artist_name}
artist_name,give me the news about {artist_name}
artist_name,is there anything new about {artist_name} in the news
artist_name,is {artist_name} in the news today
artist_name,news about {artist_name}
artist_name,play entertainment news about {artist_name}
artist_name,play news coverage of {artist_name}
artist_name,play stories featuring {artist_name}
artist_name,play the latest news segment on {artist_name}
artist_name,show me news reports about {artist_name}
artist_name,stream news regarding {artist_name}
artist_name,what are the headlines for {artist_name}
artist_name,what is {artist_name} up to
artist_name,what's happening with {artist_name} lately
artist_name,what's in the news about {artist_name}
artist_name,what's the latest on {artist_name}
game_title,I want to hear gaming news about {game_title}
game_title,I'd like the news update for {game_title}
game_title,are there any recent updates on the game {game_title}
game_title,are there updates about {game_title}
game_title,find me the latest news on {game_title}
game_title,find news stories about {game_title}
game_title,find video game news for {game_title}
game_title,get me the latest stories on {game_title}
game_title,give me the news about {game_title}
game_title,is there anything new about {game_title} in the gaming news
game_title,is {game_title} in the news today
game_title,play gaming news about {game_title}
game_title,play stories featuring {game_title}
game_title,play the latest news segment on {game_title}
game_title,show me news reports about the game {game_title}
game_title,stream news regarding {game_title}
game_title,what are the headlines for {game_title}
game_title,what's happening with {game_title} lately
game_title,what's in the news about {game_title}
game_title,what's the latest on {game_title}
movie_title,I want to hear news coverage of {movie_title}
movie_title,I'd like the news update for {movie_title}
movie_title,are there any recent updates on {movie_title}
movie_title,find coverage of {movie_title}
movie_title,find me the latest news on {movie_title}
movie_title,find movie news for {movie_title}
