category,template
title,"toca {title}"
title,"eu quero jogar {title}"
title,"inicia {title}"
title,"comeca {title}"
title,"abre {title}"
title,"eu gostaria de jogar {title}"
title,"encontra {title}"
title,"carrega {title}"
title,"liga {title}"
title,"você pode tocar {{title}}"
title,"coloca {{title}} na fila"
title,"coloca {{title}} para rodar"
title,"executa {{title}}"
genre,"toca um jogo de {{genre}}"
genre,"eu quero jogar {{genre}}"
genre,"encontra um jogo de {{genre}} para mim"
genre,"coloca um jogo de {{genre}}"
genre,"estou na vibe de {{genre}}"
genre,"transmite um jogo de {{genre}}"
genre,"coloca na fila um jogo de {{genre}}"
genre,"me mostra jogos {{genre}}"
genre,"eu quero algo {{genre}}"
platform,"encontra um jogo de {{platform}}"
platform,"eu quero jogar em {{platform}}"
platform,"me mostra jogos de {{platform}}"
platform,"qual jogo de {{platform}} eu deveria jogar"
platform,"coloca na fila um jogo de {{platform}}"
platform,"toca algo em {{platform}}"
mood,"eu quero algo relaxante"
mood,"toca algo desafiador"
mood,"encontra algo divertido para mim"
mood,"eu quero algo competitivo"
mood,"toca algo cooperativo"
mood,"encontra algo estratégico para mim"
mood,"eu quero uma aventura"
mood,"toca algo assustador"
mood,"encontra algo engraçado para mim"
mood,"eu quero algo com história"
mode,"toca jogador único"
mode,"eu quero multijogador"
mode,"encontra um jogo cooperativo"
mode,"toca algo competitivo"
mode,"eu quero jogos online"
mode,"encontra um jogo multijogador local"
difficulty,"eu quero algo fácil"
difficulty,"toca algo difícil"
difficulty,"encontra um jogo desafiador"
difficulty,"eu quero um jogo casual"
difficulty,"toca algo para hardcore players"
length,"eu quero um jogo rápido"
length,"encontra um jogo longo para mergulhar"
length,"preciso de uma sessão rápida"
length,"toca algo para jogar por algumas horas"
duration,"tenho 30 minutos"
duration,"tenho uma hora"
duration,"tenho a noite toda"
duration,"encontra um jogo que eu posso jogar em uma sentada"
exploration,"encontra jogos indie"
exploration,"me mostra pérolas escondidas"
exploration,"recomenda um jogo"
exploration,"qual jogo eu deveria jogar"
exploration,"me surpreende com um jogo"
exploration,"sugere algo novo"
exploration,"o que é tendência em jogos"
exploration,"encontra jogos como {{title}}"
rating,"me mostra jogos top-rated"
rating,"eu quero um jogo aclamado pela crítica"
rating,"encontra jogos bem avaliados"
rating,"toca um jogo com ótimas críticas"
franchise,"encontra jogos de {{title}}"
franchise,"toca algo da série {{title}}"
franchise,"qual jogo de {{title}} eu deveria jogar"
franchise,"coloca na fila {{title}}"
retro,"toca um jogo clássico"
retro,"eu quero um jogo retrô"
retro,"encontra um jogo antigo"
retro,"me mostra jogos de {{year}}"
retro,"eu quero um jogo de arcade"
recent,"toca um lançamento recente"
recent,"encontra um jogo recente"
recent,"o que é novo em jogos"
recent,"me mostra jogos de {{year}}"
recent,"coloca na fila o lançamento mais recente"
provider,"encontra um jogo em {{provider}}"
provider,"transmite de {{provider}}"
provider,"me mostra jogos de {{provider}}"
provider,"toca algo de {{provider}}"
generic,"toca um jogo"
generic,"eu quero jogar um videojogo"
generic,"comeca um jogo"
generic,"estou entediado, toca um jogo"
generic,"encontra um jogo para mim"
generic,"me mostra um jogo"
generic,"qual jogo eu deveria jogar"
generic,"me surpreende com um jogo"
generic,"toca algo bom"
generic,"coloca na fila um jogo"
