category,template
show,"riproduci il podcast {show}"
show,"voglio ascoltare {show}"
show,"riproduci un episodio di {show}"
show,"trova il podcast {show}"
show,"metti su {show}"
show,"trasmetti {show}"
show,"voglio sentire {show}"
show,"continua a ascoltare {show}"
show,"metti in coda {show}"
show,"mostrami {show}"
show,"puoi riprodurre {show}"
show,"mi piacerebbe ascoltare {{show}}"
show,"riprendi {show}"
show,"che cosa c'è di nuovo in {{show}}"
show,"riproduci l'ultimo {{show}}"
show,"trovami un episodio di {{show}}"
show,"metti {{show}}"
topic,"riproduci un podcast su {topic}"
topic,"trovami un podcast su {topic}"
topic,"voglio ascoltare un podcast su {topic}"
topic,"metti su un podcast su {topic}"
topic,"mi piacerebbe un podcast su {topic}"
topic,"trasmetti un podcast su {topic}"
topic,"trova un podcast su {topic}"
topic,"riproduci qualcosa su {topic}"
topic,"voglio sentire un podcast su {topic}"
topic,"trovami un podcast su {topic}"
topic,"metti in coda un podcast {{topic}}"
topic,"puoi riprodurre un podcast {{topic}}"
topic,"mostrami un podcast su {{topic}}"
topic,"sono interessato a un podcast {{topic}}"
topic,"consigliami un podcast {{topic}}"
episode,"riproduci l'ultimo episodio di {show}"
episode,"trova un nuovo episodio di {show}"
episode,"metti su l'episodio più nuovo {{show}}"
episode,"continua con il prossimo episodio {{show}}"
episode,"trasmetti l'ultimo {{show}}"
episode,"metti in coda il nuovo episodio {{show}}"
episode,"qual è l'episodio più nuovo {{show}}"
episode,"riproduci l'episodio più recente {{show}}"
series,"voglio iniziare una nuova serie di podcast"
series,"trovami una serie di podcast"
series,"quale serie di podcast dovrei ascoltare"
series,"mostrami serie di podcast su {{topic}}"
series,"metti in coda una nuova serie"
series,"inizia una serie di podcast con me"
discovery,"consigliami un podcast"
discovery,"suggerisci qualcosa da ascoltare"
discovery,"trova podcast su {{topic}}"
discovery,"cosa è di tendenza nei podcast"
discovery,"mostrami nuovi podcast"
discovery,"trova i gioielli nascosti dei podcast"
discovery,"quale podcast dovrei provare"
discovery,"sorprendimi con un podcast"
discovery,"trova podcast come {{show}}"
discovery,"cosa è simile a {{show}}"
length,"voglio un episodio di podcast breve"
length,"trovami un podcast lungo"
length,"mi serve un ascolto veloce"
length,"riproduci qualcosa che posso ascoltare durante il tragitto"
frequency,"trovami un podcast settimanale"
frequency,"voglio un podcast giornaliero"
frequency,"metti su qualcosa che si aggiorna regolarmente"
genre,"riproduci un podcast {{genre}}"
genre,"voglio ascoltare uno show {{genre}}"
genre,"trovami contenuti {{genre}}"
genre,"metti su qualcosa {{genre}}"
genre,"trasmetti un podcast {{genre}}"
genre,"metti in coda uno show {{genre}}"
genre,"sono in vena di podcast {{genre}}"
mood,"voglio qualcosa di educativo"
mood,"riproduci qualcosa di divertente"
mood,"mi serve qualcosa di rilassante"
mood,"trovami qualcosa di ispirante"
mood,"voglio crimini veri"
mood,"riproduci qualcosa di riflessivo"
mood,"trovami contenuti divertenti"
host,"trova podcast di {host}"
host,"voglio ascoltare {{host}}"
host,"metti su uno show di {{host}}"
host,"riproduci qualcosa condotto da {{host}}"
host,"trasmetti il podcast di {{host}}"
provider,"trova un podcast su {provider}"
provider,"trasmetti da {{provider}}"
provider,"mostrami cosa c'è su {{provider}}"
provider,"riproduci qualcosa da {{provider}}"
generic,"riproduci un podcast"
generic,"riproduci dei podcast"
generic,"voglio ascoltare un podcast"
generic,"trovami qualcosa da ascoltare"
generic,"riproduci qualcosa"
generic,"metti in coda qualcosa"
generic,"voglio sentire qualcosa"
generic,"metti su un podcast"
generic,"trasmetti un podcast"
generic,"riproduci qualsiasi cosa"
generic,"mi annoio, riproduci un podcast"
generic,"riproduci podcast casuali"
generic,"quale podcast dovrei ascoltare"
