category,template
station,"reproduce {station}"
station,"sintoniza {station}"
station,"pon {station}"
station,"quiero escuchar {station}"
station,"reproduce {{station}} radio"
station,"emitir {{station}}"
station,"busca {{station}}"
station,"enciende {{station}}"
station,"cambia a {{station}}"
station,"puedes reproducir {{station}}"
station,"pon {{station}} en cola"
station,"muéstrame {{station}}"
station,"me gustaría oír {{station}}"
station,"continúa {{station}}"
genre,"reproduce {{genre}} radio"
genre,"quiero escuchar {{genre}} radio"
genre,"busca una estación de {{genre}}"
genre,"pon algo de {{genre}}"
genre,"emitir algo de {{genre}} radio"
genre,"me apetece {{genre}}"
genre,"pon {{genre}} en cola"
genre,"muéstrame estaciones de {{genre}}"
genre,"reproduce {{genre}} para mí"
genre,"busca una estación de {{genre}}"
genre,"sintoniza {{genre}} radio"
format,"reproduce una estación de AM"
format,"quiero radio FM"
format,"busca una estación de radio por satélite"
format,"emitir radio por internet"
format,"pon radio en línea"
format,"pon un podcast de radio en cola"
stream,"emitir {{station}}"
stream,"quiero emitir {{station}}"
stream,"busca un flujo"
stream,"reproduce un flujo en directo"
stream,"pon un flujo en cola"
stream,"quiero radio en flujo"
mood,"quiero música relajante"
mood,"reproduce algo animado"
mood,"busca radio de jazz"
mood,"pon música clásica"
mood,"quiero música de rock"
mood,"reproduce algo chill"
mood,"busca música energética"
mood,"quiero sonidos ambientes"
mood,"reproduce radio de conversación"
mood,"busca radio de noticias"
location,"reproduce {{location}} radio"
location,"quiero la estación de {{location}}"
location,"busca una radio de {{location}}"
location,"muéstrame radio de {{location}}"
location,"sintoniza {{location}}"
language,"reproduce {{language}} radio"
language,"quiero la estación de {{language}}"
language,"busca una radio en {{language}}"
language,"emitir en {{language}}"
availability,"busca qué está disponible ahora"
availability,"qué puedo sintonizar"
availability,"muéstrame estaciones actuales"
availability,"reproduce algo disponible"
availability,"pon lo que está en antena"
discovery,"recomienda una estación de radio"
discovery,"sugiere algo para escuchar"
discovery,"busca nuevas estaciones de radio"
discovery,"qué debería sintonizar"
discovery,"muéstrame estaciones en tendencia"
discovery,"sorpréndeme con una estación"
discovery,"busca joyas ocultas de radio"
discovery,"qué es popular ahora"
category,"quiero radio de conversación"
category,"reproduce radio de música"
category,"busca radio de noticias"
category,"emitir radio de deportes"
category,"reproduce radio variada"
category,"busca radio de comedia"
category,"pon radio educativa"
provider,"busca radio en {{provider}}"
provider,"emitir desde {{provider}}"
provider,"muéstrame estaciones de {{provider}}"
provider,"reproduce radio de {{provider}}"
generic,"reproduce la radio"
generic,"enciende la radio"
generic,"busca una estación de radio"
generic,"pon algo de radio"
generic,"emitir radio"
generic,"quiero escuchar la radio"
generic,"muéstrame radio"
generic,"pon una estación en cola"
generic,"estoy aburrido, reproduce radio"
generic,"reproduce algo"
