category,template
station,"puść {station}"
station,"włącz {station}"
station,"włóż {station}"
station,"chcę słuchać {station}"
station,"puść radio {{station}}"
station,"streamuj {{station}}"
station,"znajdź {{station}}"
station,"włącz {{station}}"
station,"przełącz na {{station}}"
station,"czy możesz puścić {{station}}"
station,"postaw {{station}}"
station,"pokaż mi {{station}}"
station,"chciałbym usłyszeć {{station}}"
station,"wznów {{station}}"
genre,"puść radio {{genre}}"
genre,"chcę słuchać radio {{genre}}"
genre,"znajdź mi stację {{genre}}"
genre,"włóż radio {{genre}}"
genre,"streamuj radio {{genre}}"
genre,"jestem w nastroju na {{genre}}"
genre,"postaw {{genre}}"
genre,"pokaż mi stacje {{genre}}"
genre,"puść {{genre}}"
genre,"znajdź stację {{genre}}"
genre,"włącz radio {{genre}}"
format,"puść stację AM"
format,"chcę radio FM"
format,"znajdź stację satelitarną"
format,"streamuj radio internetowe"
format,"włóż radio online"
format,"postaw radio podcast"
stream,"streamuj {{station}}"
stream,"chcę streamować {{station}}"
stream,"znajdź stream"
stream,"puść live stream"
stream,"postaw stream"
stream,"chcę radio streamingowe"
mood,"chcę relaksującej muzyki"
mood,"puść coś energetycznego"
mood,"znajdź mi radio jazzowe"
mood,"włóż klasykę"
mood,"chcę rock'u"
mood,"puść coś chill"
mood,"znajdź energetyczną muzykę"
mood,"chcę dźwięków ambientowych"
mood,"puść radio mówione"
mood,"znajdź radio wiadomości"
location,"puść radio {{location}}"
location,"chcę stację {{location}}"
location,"znajdź radio {{location}}"
location,"pokaż mi radio {{location}}"
location,"włącz {{location}}"
language,"puść radio {{language}}"
language,"chcę stację {{language}}"
language,"znajdź radio {{language}}"
language,"streamuj w {{language}}"
availability,"znajdź co jest dostępne"
availability,"co mogę włączyć"
availability,"pokaż mi obecne stacje"
availability,"puść coś dostępnego"
availability,"postaw co jest na"
discovery,"polecaj stację radiową"
discovery,"zasugeruj coś do słuchania"
discovery,"znajdź nowe stacje radiowe"
discovery,"w co powinnam się włączyć"
discovery,"pokaż mi trendy stacje"
discovery,"zaskocz mnie stacją"
discovery,"znajdź ukryte klejnoty"
discovery,"co jest popularne teraz"
category,"chcę radio mówione"
category,"puść radio muzyczne"
category,"znajdź radio wiadomości"
category,"streamuj radio sportowe"
category,"puść radio różnorodne"
category,"znajdź radio komediowe"
category,"włóż radio edukacyjne"
provider,"znajdź radio na {{provider}}"
provider,"streamuj z {{provider}}"
provider,"pokaż mi stacje {{provider}}"
provider,"puść radio {{provider}}"
generic,"puść radio"
generic,"włącz radio"
generic,"znajdź mi stację radiową"
generic,"włóż radio"
generic,"streamuj radio"
generic,"chcę słuchać radia"
generic,"pokaż mi radio"
generic,"postaw stację"
generic,"się nudzę, puść radio"
generic,"puść coś"
