category,template
title,"reproduce {title}"
title,"quero xogar {title}"
title,"lanza {title}"
title,"comeza {title}"
title,"abre {title}"
title,"gustaríame xogar {title}"
title,"busca {title}"
title,"carga {title}"
title,"inicia {title}"
title,"podes xogar {{title}}"
title,"engade á cola {{title}}"
title,"pon {{title}}"
title,"executa {{title}}"
genre,"reproduce un xogo de {{genre}}"
genre,"quero xogar {{genre}}"
genre,"búscame un xogo de {{genre}}"
genre,"pon un xogo de {{genre}}"
genre,"estou de mood para {{genre}}"
genre,"transmite un xogo de {{genre}}"
genre,"engade á cola un xogo de {{genre}}"
genre,"amósame xogos de {{genre}}"
genre,"quero algo {{genre}}"
platform,"busca un xogo de {{platform}}"
platform,"quero xogar en {{platform}}"
platform,"amósame xogos de {{platform}}"
platform,"que xogos de {{platform}} debería xogar"
platform,"engade á cola un xogo de {{platform}}"
platform,"reproduce algo en {{platform}}"
mood,"quero algo relaxante"
mood,"reproduce algo desafiante"
mood,"búscame algo divertido"
mood,"quero algo competitivo"
mood,"reproduce algo cooperativo"
mood,"búscame algo estratéxico"
mood,"quero una aventura"
mood,"reproduce algo aterrador"
mood,"búscame algo divertido"
mood,"quero algo con historia"
mode,"reproduce un xogo individual"
mode,"quero multixogador"
mode,"busca un xogo cooperativo"
mode,"reproduce algo competitivo"
mode,"quero xogos en liña"
mode,"busca multixogador local"
difficulty,"quero algo fácil"
difficulty,"reproduce algo difícil"
difficulty,"busca un xogo desafiante"
difficulty,"quero un xogo casual"
difficulty,"reproduce algo para xogadores hardcore"
length,"quero un xogo rápido"
length,"busca un xogo longo para afundir tempo"
length,"preciso una sesión curta"
length,"reproduce algo para varias horas"
duration,"teño 30 minutos"
duration,"teño una hora"
duration,"teño a tarde completa"
duration,"busca un xogo que poida xogar nunha sentada"
exploration,"busca xogos indie"
exploration,"amósame xoias escondidas"
exploration,"recomendame un xogo"
exploration,"que xogo debería xogar"
exploration,"sorprendeme con un xogo"
exploration,"sugíreme algo novo"
exploration,"que está en tendencia en xogos"
exploration,"busca xogos como {{title}}"
rating,"amósame xogos máis valorados"
rating,"quero un xogo aclamado pola crítica"
rating,"busca xogos muy valorados"
rating,"reproduce un xogo con optimas críticas"
franchise,"busca xogos de {{title}}"
franchise,"reproduce algo da serie de {{title}}"
franchise,"que xogo de {{title}} debería xogar"
franchise,"engade á cola {{title}}"
retro,"reproduce un xogo clásico"
retro,"quero un xogo retro"
retro,"busca un xogo antigo"
retro,"amósame xogos de {{year}}"
retro,"quero un xogo de arcade"
recent,"reproduce un lanzamento novo"
recent,"busca un xogo recente"
recent,"que é novo en xogos"
recent,"amósame xogos de {{year}}"
recent,"engade á cola o últime lanzamento"
provider,"busca un xogo en {{provider}}"
provider,"transmite de {{provider}}"
provider,"amósame xogos de {{provider}}"
provider,"reproduce algo de {{provider}}"
generic,"reproduce un xogo"
generic,"quero xogar un videoxogo"
generic,"comeza un xogo"
generic,"me aburro, reproduce un xogo"
generic,"búscame un xogo"
generic,"amósame un xogo"
generic,"que xogo debería xogar"
generic,"sorprendeme con un xogo"
generic,"reproduce algo bo"
generic,"engade á cola un xogo"
