category,template
generic,"riproduci le notizie"
generic,"voglio sentire le notizie"
generic,"dammi le ultime notizie"
generic,"cosa c'è nelle notizie oggi"
generic,"leggimi i titoli"
generic,"qual è l'ultima notizia"
generic,"riproduci il telegiornale della mattina"
generic,"riproduci le notizie di oggi"
generic,"tienmi aggiornato sulle notizie"
generic,"trasmetti le notizie"
generic,"mi piacerebbe sentire le notizie"
generic,"riproduci il telegiornale della sera"
generic,"trovami copertura delle notizie"
generic,"mostrami cosa sta succedendo"
generic,"voglio gli ultimi sviluppi"
generic,"voglio i fatti contingenti"
provider,"riproduci le notizie da {provider}"
provider,"voglio sentire le notizie da {{provider}}"
provider,"trasmetti notizie da {{provider}}"
provider,"riproduci le notizie di {{provider}}"
provider,"trovami le notizie di {{provider}}"
provider,"cosa sta dicendo {{provider}} oggi"
provider,"sintonizzati su {{provider}}"
provider,"mostrami {{provider}}"
provider,"metti in coda le notizie {{provider}}"
category,"riproduci le notizie {{category}}"
category,"voglio sentire le notizie {{category}}"
category,"mostrami {{category}}"
category,"trovami aggiornamenti {{category}}"
category,"metti su le notizie {{category}}"
category,"trasmetti {{category}}"
category,"metti in coda {{category}}"
category,"sono interessato alle notizie {{category}}"
category,"dammi i titoli {{category}}"
time,"riproduci il briefing matutino"
time,"voglio le notizie della sera"
time,"riproduci l'aggiornamento di oggi"
time,"dammi gli ultimi titoli"
time,"riproduci le notizie di mezzogiorno"
time,"voglio le notizie della notte"
time,"mostrami le breaking news"
time,"trovami la copertura dal vivo"
time,"riproduci le notizie recenti"
topic,"voglio notizie su {{topic}}"
topic,"trovami copertura di {{topic}}"
topic,"riproduci le notizie su {{topic}}"
topic,"mostrami aggiornamenti su {{topic}}"
topic,"trasmetti notizie su {{topic}}"
topic,"metti in coda storie su {{topic}}"
topic,"cosa c'è di nuovo su {{topic}}"
topic,"dammi titoli {{topic}}"
topic,"sono interessato alle notizie su {{topic}}"
region,"riproduci le notizie da {{region}}"
region,"voglio le notizie di {{region}}"
region,"trasmetti copertura da {{region}}"
region,"mostrami i titoli di {{region}}"
region,"trovami notizie da {{region}}"
region,"cosa sta succedendo in {{region}}"
language,"riproduci le notizie in {{language}}"
language,"voglio copertura notizie in {{language}}"
language,"mostrami titoli in {{language}}"
language,"trasmetti in {{language}}"
source,"trovami copertura di {{source}}"
source,"voglio il giornalismo di {{source}}"
source,"mostrami {{source}}"
source,"riproduci le notizie di {{source}}"
source,"trasmetti {{source}}"
source,"metti in coda {{source}}"
discovery,"cosa è di tendenza"
discovery,"mostrami le storie principali"
discovery,"cosa dovrei sapere oggi"
discovery,"notizie sorprendenti"
discovery,"titoli importanti"
discovery,"ultimi sviluppi"
discovery,"le storie principali adesso"
format,"riproduci un podcast di notizie"
format,"voglio un programma di notizie video"
format,"mostrami i riassunti scritti"
format,"riproduci una trasmissione di notizie"
format,"trasmetti notizie video"
mood,"voglio un briefing completo"
mood,"dammi la versione breve"
mood,"voglio un'analisi approfondita"
mood,"riproduci copertura notizie leggera"
mood,"trovami il giornalismo serio"
weather,"qual è il meteo"
weather,"dimmi il meteo"
weather,"riproduci la previsione meteo"
weather,"voglio sapere il meteo"
traffic,"dimmi il traffico"
traffic,"riproduci gli aggiornamenti del traffico"
traffic,"qual è la situazione del traffico"
traffic,"trovami le notizie sul traffico"
sports,"riproduci le notizie sportive"
sports,"voglio gli aggiornamenti sportivi"
sports,"mostrami i titoli sportivi"
sports,"trasmetti copertura sportiva"
business,"riproduci le notizie economiche"
business,"voglio le notizie finanziarie"
business,"mostrami gli aggiornamenti di mercato"
business,"trasmetti copertura economica"
tech,"riproduci le notizie tecnologiche"
tech,"voglio gli aggiornamenti tecnologici"
tech,"mostrami i titoli tecnologici"
tech,"trasmetti copertura tecnologica"
generic,"riproduci qualcosa"
generic,"voglio gli ultimi sviluppi"
generic,"mostrami cosa sta succedendo"
generic,"dammi aggiornamenti"
generic,"trasmetti le notizie"
generic,"metti in coda le notizie"
