category,template
artist,"jo {artist}"
artist,"jo zenbait {artist}"
artist,"entzun nahi dut {artist}"
artist,"{artist} jotzen duzu?"
artist,"jo {artist}rekin musika"
artist,"entzun nahi dut {artist}"
artist,"stream {artist}"
artist,"jo {artist}en musika"
artist,"jo kantarik bat {artist}en"
artist,"jo zerbait {artist}en"
artist,"entzun nahi dut {artist}"
artist,"nire arimea da {artist}"
artist,"jo {artist}en musika"
artist,"bilatu {artist}"
artist,"jo {artist}en musika"
artist,"entzun nahi dut {artist}"
artist,"sartu {artist}"
artist,"jo {artist}"
artist,"eman {artist}"
artist,"bilatu {artist}"
artist,"nola ditu {artist}"
track,"jo {track}"
track,"jo kantarik {track}"
track,"entzun nahi dut {track}"
track,"bilatu {track}"
track,"entzun nahi dut {track}"
track,"jo dezakezu {track}"
track,"jo {track}"
track,"jo {track}"
track,"jo {track}"
track,"bilatu {track}"
track,"bilatu {track}"
track,"jo ditzut {track}"
track,"bilatu {track}"
track_artist,"jo {track} eta {artist}"
track_artist,"entzun nahi dut {track} eta {artist}"
track_artist,"jo {track} {artist}en"
track_artist,"bilatu {track} eta {artist}"
track_artist,"jo {track} eta {artist}"
track_artist,"sartu {track} eta {artist}"
track_artist,"stream {track} eta {artist}"
track_artist,"jo {track} {artist}en"
track_artist,"nahi dut {track} eta {artist}"
genre,"jo zenbait {genre} musika"
genre,"entzun nahi dut {genre}"
genre,"jo {genre}"
genre,"nire arimea da {genre}"
genre,"jo {genre} zerrenda"
genre,"bilatu {genre} musika"
genre,"jo {genre}"
genre,"nahi dut {genre}"
genre,"jo {genre}"
genre,"stream {genre}"
genre,"jo {genre} musika"
genre,"nire arimea da {genre}"
genre,"eman {genre} sentitzen"
genre,"erakutsi {genre}"
genre,"sartu {genre}"
album,"jo {album} albuma"
album,"entzun nahi dut {album}"
album,"jo {album}"
album,"jo {album} {artist}en"
album,"stream {album} albuma"
album,"sartu {album}"
album,"jo {album} albuma guzia"
album,"entzun nahi dut {album}"
album,"bilatu {album}"
album,"jo {album} {artist}en"
album,"entzun nahi dut {album}"
album,"stream {album}"
featuring,"jo {track} {artist}rekin"
featuring,"stream {track} {artist}rekin"
featuring,"jo {track} {artist}rekin"
featuring,"entzun nahi dut {track} {artist}rekin"
featuring,"jo {track} {artist}rekin"
mood,"jo zerbait lasaia"
mood,"behar dut musika lasaia"
mood,"jo zerbait azkarra"
mood,"nahi dut laneko musika"
mood,"jo zerbait ikasteko"
mood,"behar dut fitnesaren musika"
mood,"jo zerbait romantikoa"
mood,"eman bizi musika"
mood,"nahi dut tristea musika"
mood,"jo zerbait energikoa"
playlist,"jo nire {playlist_name} zerrenda"
playlist,"sartu nire {playlist_name}"
playlist,"entzun nahi dut nire {playlist_name}"
playlist,"jo nire {playlist_name} zerrenda"
playlist,"stream nire {playlist_name}"
discovery,"aurkitu {genre} berria"
discovery,"bilatu {genre}ren musika berria"
discovery,"erakutsi {artist}en kantak berria"
discovery,"zer dago {artist}en"
discovery,"gomenda {genre} musika"
discovery,"eman musika gomendak"
discovery,"jo {genre}n bertsioak"
generic,"jo zenbait musika"
generic,"jo musika"
generic,"entzun nahi dut musika"
generic,"bilatu zerbait"
generic,"jo zerbait"
generic,"sartu zerbait"
generic,"entzun nahi dut zerbait"
generic,"jo zenbait musika"
generic,"stream zenbait musika"
generic,"jo ezer"
generic,"aburriagoa nago, jo musika"
generic,"jo zenbait musika"
