category,template
title,"riproduci {title}"
title,"voglio giocare {title}"
title,"avvia {title}"
title,"inizia {title}"
title,"apri {title}"
title,"mi piacerebbe giocare {title}"
title,"trova {title}"
title,"carica {title}"
title,"avvia {title}"
title,"puoi riprodurre {{title}}"
title,"metti in coda {{title}}"
title,"metti {{title}}"
title,"esegui {{title}}"
genre,"riproduci un gioco {{genre}}"
genre,"voglio giocare {{genre}}"
genre,"trovami un gioco {{genre}}"
genre,"metti su un gioco {{genre}}"
genre,"sono in vena di {{genre}}"
genre,"trasmetti un gioco {{genre}}"
genre,"metti in coda un gioco {{genre}}"
genre,"mostrami giochi {{genre}}"
genre,"voglio qualcosa {{genre}}"
platform,"trova un gioco {{platform}}"
platform,"voglio giocare su {{platform}}"
platform,"mostrami giochi {{platform}}"
platform,"quali giochi {{platform}} dovrei giocare"
platform,"metti in coda un gioco {{platform}}"
platform,"riproduci qualcosa su {{platform}}"
mood,"voglio qualcosa di rilassante"
mood,"riproduci qualcosa di impegnativo"
mood,"trovami qualcosa di divertente"
mood,"voglio qualcosa di competitivo"
mood,"riproduci qualcosa di cooperativo"
mood,"trovami qualcosa di strategico"
mood,"voglio un'avventura"
mood,"riproduci qualcosa di pauroso"
mood,"trovami qualcosa di divertente"
mood,"voglio qualcosa con una trama"
mode,"riproduci giocatore singolo"
mode,"voglio multiplayer"
mode,"trova un gioco cooperativo"
mode,"riproduci qualcosa di competitivo"
mode,"voglio gioco online"
mode,"trova multiplayer locale"
difficulty,"voglio qualcosa di facile"
difficulty,"riproduci qualcosa di difficile"
difficulty,"trovami un gioco impegnativo"
difficulty,"voglio un gioco casual"
difficulty,"riproduci qualcosa per giocatori hardcore"
length,"voglio un gioco veloce"
length,"trovami un gioco lungo"
length,"mi serve una sessione breve"
length,"riproduci qualcosa per qualche ora"
duration,"ho 30 minuti"
duration,"ho un'ora"
duration,"ho tutta la sera"
duration,"trovami un gioco che posso giocare in una sessione"
exploration,"trova giochi indie"
exploration,"mostrami i gioielli nascosti"
exploration,"consigliami un gioco"
exploration,"quale gioco dovrei giocare"
exploration,"sorprendimi con un gioco"
exploration,"suggerisci qualcosa di nuovo"
exploration,"cosa è di tendenza nel gaming"
exploration,"trova giochi come {{title}}"
rating,"mostrami giochi top-rated"
rating,"voglio un gioco acclamato dalla critica"
rating,"trovami giochi molto valutati"
rating,"riproduci un gioco con ottime recensioni"
franchise,"trova giochi di {{title}}"
franchise,"riproduci qualcosa della serie {{title}}"
franchise,"quale gioco di {{title}} dovrei giocare"
franchise,"metti in coda {{title}}"
retro,"riproduci un gioco classico"
retro,"voglio un gioco retrò"
retro,"trovami un gioco vecchio"
retro,"mostrami giochi di {{year}}"
retro,"voglio un gioco arcade"
recent,"riproduci una nuova uscita"
recent,"trova un gioco recente"
recent,"cosa c'è di nuovo nel gaming"
recent,"mostrami giochi di {{year}}"
recent,"metti in coda l'ultima uscita"
provider,"trova un gioco su {{provider}}"
provider,"trasmetti da {{provider}}"
provider,"mostrami giochi di {{provider}}"
provider,"riproduci qualcosa da {{provider}}"
generic,"riproduci un gioco"
generic,"voglio giocare a un videogioco"
generic,"inizia un gioco"
generic,"mi annoio, riproduci un gioco"
generic,"trovami un gioco"
generic,"mostrami un gioco"
generic,"quale gioco dovrei giocare"
generic,"sorprendimi con un gioco"
generic,"riproduci qualcosa di buono"
generic,"metti in coda un gioco"
